name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude,provinsi
Ritz Consultant Psikologi (Praktek Psikolog),Psychologist,"Ritz Consultant Psikologi (Praktek Psikolog), Depan Paud Inklusi Harsya Ceria, Jl. H. Usman No.22, Jeulingke, Kec. Syiah Kuala, Kota Banda Aceh, Aceh 24415, Indonesia",tidak diketahui,+62 811-6809-330,5,26.0,"95,3441249","5,5741121",Aceh
Sanubari Psikologi (Praktik Psikolog Cut Maghfirah Faisal),Psychologist,"Sanubari Psikologi (Praktik Psikolog Cut Maghfirah Faisal), Jl. TM Pahlawan, Ateuk Pahlawan, Baiturrahman, Banda Aceh City, Aceh, Indonesia",https://www.instagram.com/sanubari.psi/,+62 895-3411-74100,5,50.0,"95,3240021","5,5475893",Aceh
"Klinik Psikologi Seedtosparkle (Firsta Faizah, S.Psi, M.Psi, Psikolog)",Psychologist,"Klinik Psikologi Seedtosparkle (Firsta Faizah, S.Psi, M.Psi, Psikolog), Jl. Prada Utama No.11, Peurada, Syiah Kuala, Banda Aceh City, Aceh 23115, Indonesia",https://www.instagram.com/yourpsychologist_firsta?igsh=OGFjdnZmaDZyaWNu&utm_source=qr,+62 811-6841-662,5,44.0,"95,3487201","5,5716962",Aceh
Psikodista Consultant,Psychologist,"Psikodista Consultant, JL. T. Imum Luengbata. 22 - 24, Kecamatan, Kec. Lueng Bata, Kota Banda Aceh, Aceh 23247, Indonesia",http://www.psikodista.com/,+62 651 26245,"4,7",43.0,"95,3361829","5,5437292",Aceh
Yayasan Praktek Psikolog Indonesia Cabang Aceh,Psychologist,"G7MX+58J Yayasan Praktek Psikolog Indonesia Cabang Aceh, Lamtemen Bar., Kec. Jaya Baru, Kota Banda Aceh, Aceh 23232, Indonesia",tidak diketahui,tidak diketahui,5,3.0,"95,2977906","5,5328705",Aceh
Praktik Psikolog Klinis - Scandic Psycho Consulting,Psychotherapist,"G9R4+8Q6 Praktik Psikolog Klinis - Scandic Psycho Consulting, Jl. Peukan Blang 1, Miruk, Krueng Barona Jaya, Aceh Besar Regency, Aceh 23116, Indonesia",http://www.scandicconsulting.com/,+62 822-7557-3638,5,17.0,"95,3568977","5,5407123",Aceh
Personal Space (Praktek Psikolog),Psychologist,"G7MX+545 Personal Space (Praktek Psikolog), Jl. Cut Nyak Dhien, Lamtemen Bar., Kec. Jaya Baru, Kota Banda Aceh, Aceh, Indonesia",https://instagram.com/personalspace.psy?igshid=OGQ5ZDc2ODk2ZA==,+62 852-1860-4902,5,7.0,"95,2978526","5,5328779",Aceh
LETICIA WELLNESS CENTER - Praktek Hipnoterapi dan konseling psikologi Denpasar Bali ( LWC ),Psychotherapist,"LETICIA WELLNESS CENTER - Praktek Hipnoterapi dan konseling psikologi Denpasar Bali ( LWC ), Jl. Gn. Agung No.9B, Tegal Kertha, Kec. Denpasar Bar., Kota Denpasar, Bali 80118, Indonesia",tidak diketahui,+62 819-9049-9990,"4,9",33.0,"115,1914968","-8,6504343",Bali
"Praktek Psikologi DC Wellness Centre, psikolog I Gusti Agung Ayu Yunita Utami",Psychologist,"Praktek Psikologi DC Wellness Centre, psikolog I Gusti Agung Ayu Yunita Utami, Jl. Pidada V, Ubung, Denpasar Utara, Denpasar City, Bali 80111, Indonesia",tidak diketahui,+62 821-4491-6261,"4,5",17.0,"115,1999526","-8,6360541",Bali
Dian Selaras Psikologi & Hipnoterapi Bali / Praktik Psikologi Mandiri,Psychologist,"Dian Selaras Psikologi & Hipnoterapi Bali / Praktik Psikologi Mandiri, Jl. Tukad Gangga IV No.12-A, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80000, Indonesia",https://www.dianselaraspsikologibali.com/,+62 812-3711-5409,"4,8",45.0,"115,2271553","-8,6751915",Bali
