name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
LETICIA WELLNESS CENTER - Praktek Hipnoterapi dan konseling psikologi Denpasar Bali ( LWC ),Psychotherapist,"LETICIA WELLNESS CENTER - Praktek Hipnoterapi dan konseling psikologi Denpasar Bali ( LWC ), Jl. Gn. Agung No.9B, Tegal Kertha, Kec. Denpasar Bar., Kota Denpasar, Bali 80118, Indonesia",,+62 819-9049-9990,"4,9",33,"115,1914968","-8,6504343"
"Praktek Psikologi DC Wellness Centre, psikolog I Gusti Agung Ayu Yunita Utami",Psychologist,"Praktek Psikologi DC Wellness Centre, psikolog I Gusti Agung Ayu Yunita Utami, Jl. Pidada V, Ubung, Denpasar Utara, Denpasar City, Bali 80111, Indonesia",,+62 821-4491-6261,"4,5",17,"115,1999526","-8,6360541"
Dian Selaras Psikologi & Hipnoterapi Bali / Praktik Psikologi Mandiri,Psychologist,"Dian Selaras Psikologi & Hipnoterapi Bali / Praktik Psikologi Mandiri, Jl. Tukad Gangga IV No.12-A, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80000, Indonesia",https://www.dianselaraspsikologibali.com/,+62 812-3711-5409,"4,8",45,"115,2271553","-8,6751915"
LETICIA WELLNESS CENTER 2 - Praktik hipnoterapi dan konseling psikologi ( LWC-2 ),Mental health clinic,"LETICIA WELLNESS CENTER 2 - Praktik hipnoterapi dan konseling psikologi ( LWC-2 ), sebelah resto ayam JFC, Jl. Raya Kesambi No.9, Kerobokan, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",,+62 819-9049-9990,5,14,"115,1722731","-8,6528475"
"Pradnyagama, Pusat Layanan Psikologi Bali",Psychologist,"Pradnyagama, Pusat Layanan Psikologi Bali, Jl. Tukad Yeh Aya No.183, Renon, Denpasar Selatan, Denpasar City, Bali 80226, Indonesia",https://psikologibali.com/,+62 857-3923-4234,"4,7",122,"115,240499","-8,676963"
"Konsultasi psikologi, Hipnoterapi, Psikiater dr I Gusti Rai Wiguna SpKJ",Psychiatrist,"Konsultasi psikologi, Hipnoterapi, Psikiater dr I Gusti Rai Wiguna SpKJ, Jl. Jend. Sudirman No.1, Dauh Puri Klod, Denpasar Barat, Denpasar City, Bali 80234, Indonesia",http://psikiaterbali.com/,+62 812-3900-8080,"4,7",127,"115,2178344","-8,6738966"
Griya. Psikologi,Child psychologist,"Griya. Psikologi, Jl. Kenyeri No.52-48, Sumerta Kaja, Kec. Denpasar Tim., Kota Denpasar, Bali 80236, Indonesia",,+62 822-2149-2203,"4,9",15,"115,2303777","-8,6440382"
Praktek Psikolog Galang Dharma dan Sri Wiraswati,Psychologist,"Praktek Psikolog Galang Dharma dan Sri Wiraswati, Jl. Dewi Madri VIII No.5, Panjer, Denpasar Selatan, Denpasar City, Bali 80235, Indonesia",http://psikologrenon.wordpress.com/,+62 897-0832-042,5,23,"115,2358463","-8,6636551"
Layanan Psikolog Bintang Praba Dewi,Psychologist,"Layanan Psikolog Bintang Praba Dewi, Jl. Raya Padang Luwih, Kerobokan Kaja, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",https://linktr.ee/BintangPrabaDewi,+62 817-9700-162,5,99,"115,174891","-8,6366251"
Bali Psikologi,Mental health clinic,"Bali Psikologi, Jl. Gunung Talang No.70, Padangsambian, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",https://balipsikologi.id/,+62 896-8888-2023,"4,9",69,"115,1884351","-8,6751468"
Tes STIFIn Brain Denpasar - Bali,Psychologist,"Tes STIFIn Brain Denpasar - Bali, Jl. Tk. Pancoran I, Panjer, Denpasar Selatan, Denpasar City, Bali 80225, Indonesia",https://stifinbrain.com/sukma,+62 812-3801-299,5,67,"115,2275396","-8,6851418"
Pradnyagama Jimbaran,Mental health clinic,"Pradnyagama Jimbaran, Jl. Garuda No.5, Ungasan, South Kuta, Badung Regency, Bali 80361, Indonesia",https://psikologibali.com/,+62 815-2948-8883,5,50,"115,1693977","-8,8174889"
Layanan Konseling Psikologi Titut Esti Koeswardani | Bali Empower,Psychologist,"Layanan Konseling Psikologi Titut Esti Koeswardani | Bali Empower, Apotik INDOBAT, Jl. Tukad Yeh Aya No.100, Renon, Denpasar Selatan, Denpasar City, Bali 80234, Indonesia",https://baliempower.com/,+62 877-7743-0348,"4,9",14,"115,2360252","-8,6772029"
Praktek Psikolog Evitasari dan Weni Kumala,Psychologist,"Praktek Psikolog Evitasari dan Weni Kumala, Jl. Pulau Menjangan No.61x, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113, Indonesia",https://yubi.id/ppmevitaweni,+62 821-4464-9065,5,12,"115,2105662","-8,6818846"
