name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
,,,,,,,,
Praktek Psikolog Yunda,Psychologist,"Praktek Psikolog Yunda, Jl. WR. Supratman No.36, Kandang Limun, Kec. Muara Bangka Hulu, Kota Bengkulu, Bengkulu 38119, Indonesia",,+62 812-1470-3573,"4,7",14,"102,2715469","-3,7633548"
CV. Psikologi Ceria,Psychologist,"CV. Psikologi Ceria, Jl. Bumi Ayu Raya No.5, RT.006/RW.005, Bumiayu, Kec. Selebar, Kota Bengkulu, Bengkulu 38212, Indonesia",https://www.instagram.com/psikologiceria?igsh=MTk4M29sam5pYWlmMw==,+62 853-8484-7854,5,53,"102,3204745","-3,8554899"
"Biro Konsultasi Psikologi ""Hijau"" Bengkulu",Psychologist,"Biro Konsultasi Psikologi ""Hijau"" Bengkulu, Jl. Gelatik Raya No.125, Cempaka Permai, Gading Cempaka, Bengkulu City, Bengkulu 38211, Indonesia",,,5,1,"102,3086712","-3,8371725"
Teras Psikologi Bengkulu,Psychologist,"Teras Psikologi Bengkulu, Jl. Danau No.20, Panorama, Kec. Singaran Pati, Kota Bengkulu, Bengkulu 38224, Indonesia",,+62 898-4996-313,5,1,"102,2925005","-3,8116825"
LOGIA PROJECT,Mental health service,"LOGIA PROJECT, Jl. Teratai Indah No.Blok A1, Suka Rami, Selebar, Bengkulu City, Bengkulu 38211, Indonesia",,+62 821-7144-1525,5,57,"102,3337897","-3,832529"
Sahabat Psikologi,Corporate office,"6733+3FR Sahabat Psikologi, Ps. Berkas, Kec. Tlk. Segara, Kota Bengkulu, Bengkulu, Indonesia",,,"4,9",10,"102,2536494","-3,7972736"
CV. Cahaya psikologi,Psychologist,"CV. Cahaya psikologi, Jl. RE. Martadinata, Sumber Jaya, Kec. Kp. Melayu, Kota Bengkulu, Bengkulu 38216, Indonesia",,+62 812-1411-7719,3,2,"102,3163282","-3,8848063"
Klinik Hipnoterapi,Mental health clinic,"6748+6VX Klinik Hipnoterapi, Jl. KZ Abidin II, Belakang Pd., Kec. Ratu Samban, Kota Bengkulu, Bengkulu 38222, Indonesia",http://www.hipnoterapi-bengkulu.blogspot.com/,+62 812-7333-1119,5,1,"102,2672486","-3,7943882"
Klinik Hipnoterapi Bengkulu,Mental health clinic,"58C9+58Q Klinik Hipnoterapi Bengkulu, Jl. Hibrida XIII, Sumur Dewa, Kec. Selebar, Kota Bengkulu, Bengkulu 38211, Indonesia",http://www.hipnoterapi-bengkulu.blogspot.com/,+62 812-7333-1119,"4,8",4,"102,3183512","-3,8295363"
Biro Psikologi EDUfa Counseling & Pusat Layanan Terapi EDUfa Autisme Therapy Centre Bengkulu,School,"Biro Psikologi EDUfa Counseling & Pusat Layanan Terapi EDUfa Autisme Therapy Centre Bengkulu, Jl. Fatmawati No.039, RT.10/RW.04, Penurunan, Kec. Ratu Samban, Kota Bengkulu, Bengkulu 38223, Indonesia",,+62 823-2600-0060,5,15,"102,2646169","-3,8013411"
Klinik Swadharma Group,Psychologist,"Klinik Swadharma Group, Jl. Sungai Rupat 2, Pagar Dewa, Kec. Selebar, Kota Bengkulu, Bengkulu 38113, Indonesia",https://swadharmagroups.odoo.com/,+62 823-2967-9894,,,"102,3111943","-3,8492502"
Biro Psikologi PT. Jogja Consultant Cabang Bengkulu,Psychologist,,,+62 822-7919-2110,5,9,"102,3045787","-3,8253459"
Himpunan Psikologi Indonesia (HIMPSI),Psychiatrist,"Himpunan Psikologi Indonesia (HIMPSI), Jl. Unib Permai II No.C/62, Pematang Gubernur, Kec. Muara Bangka Hulu, Kota Bengkulu, Bengkulu 38119, Indonesia",http://himpsi.or.id/,+62 736 28563,,,"102,2960926","-3,7571089"
Psikologi Quantum,Psychologist,"Psikologi Quantum, Hibrida 9 No.33c, Sido Mulyo, Kec. Gading Cemp., Kota Bengkulu, Bengkulu 38229, Indonesia",,+62 812-7174-9977,,,"102,3123308","-3,8277771"
Psychocare_bkl,Psychologist,"4858+9PH Psychocare_bkl, Sumber Jaya, Kampung Melayu, Bengkulu City, Bengkulu 38216, Indonesia",,,,,"102,3168587","-3,8915525"
