name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Yayasan Praktek Psikolog Indonesia,Psychologist,"Yayasan Praktek Psikolog Indonesia, Gedung Bintaro Bussiness Centre, Jl. RC. Veteran Raya No.1-I, RT.1/RW.3, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330, Indonesia",http://www.praktekpsikolog.com/,+62 21 7362639,"4,7",182,"106,764778","-6,272109"
Rumah Bicara Puri Indah - Konseling Psikolog di Jakarta Barat,Psychologist,"Rumah Bicara Puri Indah - Konseling Psikolog di Jakarta Barat, Ruko Bumi Permata Indah, Blok RI 38B, Karang Mulya, Karang Tengah, Jakarta, Banten 15157, Indonesia",https://www.bicarakan.id/,+62 819-1000-9224,5,149,"106,7243363","-6,1931055"
Rumah Bicara Bintaro - Konseling dengan Psikolog di Jakarta Selatan,Psychologist,"Rumah Bicara Bintaro - Konseling dengan Psikolog di Jakarta Selatan, Jl. Merak IV Blok N3 No.23 , RT.2/RW.8, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Jakarta, Daerah Khusus Ibukota Jakarta 12330, Indonesia",https://bicarakan.id/,+62 819-1000-9224,"4,9",104,"106,7543196","-6,2739658"
Ibunda.id,Psychologist,"Ibunda.id, Blok Rini No, Jl. Ampera Raya No.12A, RT.6/RW.2, Ragunan, Kec. Ps. MingguJakarta, South Jakarta City, Jakarta 12540, Indonesia",https://www.ibunda.id/,+62 819-1523-7935,"4,9",2238,"106,8192751","-6,289764"
Bileva Konsultasi Dan Terapi Psikologi,Psychologist,"Bileva Konsultasi Dan Terapi Psikologi, Jl. Waru No.46, RT.2/RW.3, Kampung Tengah, Kramat Jati, East Jakarta City, Jakarta 13520, Indonesia",,+62 859-5966-6535,"4,9",65,"106,8577954","-6,2933776"
AMG CLINIC - Klinik Tumbuh Kembang Anak & Klinik Psikologi,Psychologist,"AMG CLINIC - Klinik Tumbuh Kembang Anak & Klinik Psikologi, Jl. Mesjid Bendungan No.28A, RT.2/RW.7, Cawang, Kramat Jati, East Jakarta City, Jakarta 13630, Indonesia",http://amgclinic.co.id/,+62 851-0140-3939,"4,8",128,"106,866219","-6,254155"
Bicarakan - Konsultasi & Konseling dengan Psikolog Profesional,Psychologist,"Bicarakan - Konsultasi & Konseling dengan Psikolog Profesional, IDX Tower 1, Jl. Jenderal Sudirman No.304 Level 3, Senayan, Kecamatan Tanah Abang, Jakarta, Daerah Khusus Ibukota Jakarta 12190, Indonesia",https://www.bicarakan.id/,+62 819-1000-9224,"4,8",152,"106,7999714","-6,2285654"
Praktek Psikolog Aurora Putri Astari,Psychologist,"Praktek Psikolog Aurora Putri Astari, 5, Jl. Teratai No.42, RT.5/RW.3, Sunter Agung, Ibu, Jkt Utara, Daerah Khusus Ibukota Jakarta 14350, Indonesia",http://www.triditalentaindonesia.com/,+62 813-7345-4789,5,233,"106,8526043","-6,128207"
Psikolog Jennyfer,Psychologist,"Psikolog Jennyfer, Perumahan Puri Mansion, Jl. Atlanta III No.58, South Kembangan, Kembangan, West Jakarta City, Jakarta 11610, Indonesia",http://instagram.com/jen.psikolog/,+62 812-8796-8664,5,303,"106,7257582","-6,1824304"
ADITI PSYCHOLOGICAL CENTER,Psychologist,"ADITI PSYCHOLOGICAL CENTER, Komplek Perkantoran, Jl. Kalibata Tengah No.35 C, RT.11/RW.7, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740, Indonesia",http://www.aditipsychocenter.com/,+62 812-1290-9085,"4,9",687,"106,830339","-6,261887"
Smart Mind center Consulting,Mental health clinic,"Smart Mind center Consulting, Mediterania Garden Residences 2, tower edelweis, Jl. Tanjung Duren Timur No.2, West Jakarta City, Jakarta 11470, Indonesia",http://smartmindcenterconsulting.com/,+62 813-1828-7148,"4,7",63,"106,7881152","-6,177454"
Praktek Psikolog Dianda Azani,Psychologist,"Praktek Psikolog Dianda Azani, Jl. Duren Tiga Indah IV No.G 23 A, RT.5/RW.7, Duren Tiga, Pancoran, South Jakarta City, Jakarta 12760, Indonesia",http://www.azanidianda.com/,+62 878-7051-9230,5,14,"106,8455826","-6,2540911"
Yayasan Praktek Psikolog Indonesia Cabang Rawamangun,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Rawamangun, Gedung East Square Business Centre, Antara Bank Mandiri dan Ace Hardware/az.ko, Jl. Pemuda No.65 Lt.1, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220, Indonesia",http://www.praktekpsikolog.com/,+62 812-1249-3404,"4,7",18,"106,8944539","-6,1938756"
Praktek Psikolog Indonesia Thamrin,Psychologist,"QRRW+F6X Praktek Psikolog Indonesia Thamrin, Ps. Manggis, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia",https://praktekpsikolog.com/,+62 878-8718-4585,"4,9",13,"106,845599","-6,2087634"
Insight Psikologi,Psychologist,"Insight Psikologi, Jl. Kamojang No.3A, RW.4, Pulo Gadung, East Jakarta City, Jakarta 13260, Indonesia",https://insightpsikologi.com/,+62 877-7768-4348,"4,9",72,"106,899004","-6,1829701"
Konsultasi Psikolog Rumah Dandelion,Psychologist,"Konsultasi Psikolog Rumah Dandelion, Jl. Taman Wijaya Kusuma No.4 Blok E, RT.8/RW.4, Pondok Labu, Cilandak, South Jakarta City, Jakarta 12450, Indonesia",http://www.rumahdandelion.com/,+62 812-8489-1683,"4,7",49,"106,802205","-6,3024928"
Psylution Indonesia Hayam Wuruk,Psychologist,"Psylution Indonesia Hayam Wuruk, Jl. Hayam Wuruk No.99, Maphar, Kec. Taman Sari, Jakarta, Daerah Khusus Ibukota Jakarta 11150, Indonesia",http://www.psylution.id/,+62 877-8559-0200,5,54,"106,8180771","-6,1540406"
