name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Biro Psikologi TALENTA,Psychologist,"Biro Psikologi TALENTA, Jl. H. Bumin Hasan No.40, RT.034, Jelutung, Jambi City, Jambi 36136, Indonesia",,+62 811-7456-270,"4,9",10,"103,6149153","-1,6127606"
Praktek Psikolog Dian Syafitrah,Psychologist,"Praktek Psikolog Dian Syafitrah, Jl. Ki Bajuri, Talang Bakung, Jambi Selatan, Jambi City, Jambi 36127, Indonesia",,+62 853-8186-0113,5,2,"103,6442672","-1,6277317"
"Praktik Psikolog Yashika Angesti Faradhiga M. Psi., Psikolog",Psychologist,"Praktik Psikolog Yashika Angesti Faradhiga M. Psi., Psikolog, Jalan Damai Utama, Lrg. Pinang Jaya No.RT. 17, Bakung Jaya, Paal Merah, Kota Jambi, Jambi 36139, Indonesia",,+62 812-7834-8661,5,3,"103,6637225","-1,6242865"
Omah Sejiwa,Psychologist,"Omah Sejiwa, Jl. KH Ahmad Dahlan No.56, Beringin, Pasar Jambi, Jambi City, Jambi 36124, Indonesia",https://www.instagram.com/omah_sejiwa?igsh=MW1sN2pyeWFtbXdzdQ==,+62 853-6739-6748,5,2,"103,6093757","-1,5957433"
Klinik Psikologi RS Rapha Theresia,Mental health clinic,"8JC7+6CQ Klinik Psikologi RS Rapha Theresia, Kenali Asam Bawah, Kec. Kota Baru, Kota Jambi, Jambi, Indonesia",,,5,7,"103,6135951","-1,6794007"
"Praktek Psikolog Diah, M.Psi., Psikolog",Psychologist,"Praktek Psikolog Diah, M.Psi., Psikolog, Jl. Iswahyudi No.114, Pasir Putih, Jambi Selatan, Jambi City, Jambi 36126, Indonesia",https://linktr.ee/psikologdiah,+62 821-8443-3004,5,4,"103,6412145","-1,6234901"
Inner-Q Konsultan Psikologi,Psychologist,"Inner-Q Konsultan Psikologi, Jl. Iswahyudi No.44, Pasir Putih, Kec. Jambi Sel., Kota Jambi, Jambi 36126, Indonesia",,,,,"103,6398474","-1,6253908"
Altruisme Biro Psikologi (Praktek Psikolog),Psychologist,"5FG9+JFM Altruisme Biro Psikologi (Praktek Psikolog), Tungkal II, Kec. Tungkal Ilir, Kabupaten Tanjung Jabung Barat, Jambi, Indonesia",,,5,13,"103,4686875","-0,8234375"
Inspirasi Sehati Biro Psikologi,Psychologist,"Inspirasi Sehati Biro Psikologi, Lorong Kolombia No.35, Simpang III Sipin, Kec. Kota Baru, Kota Jambi, Jambi 36124, Indonesia",,,5,2,"103,5956375","-1,6221887"
Bina Jatidiri Madiri,Psychiatrist,"9JQ4+JCM Bina Jatidiri Madiri, JL. Samsu Bahrun, Lebak Bandung, Lb. Bandung, Kec. Jelutung, Kota Jambi, Jambi 36124, Indonesia",,+62 741 61046,5,1,"103,606041","-1,610921"
Klinik Dr. Asianto Supargo,Psychiatrist,"Klinik Dr. Asianto Supargo, Jl. Pangeran Diponegoro, Sulanjana, East Jambi, Jambi City, Jambi 36123, Indonesia",,+62 741 23977,5,9,"103,6224725","-1,596317"
Klinik Koseling Umum Jambi,Resume service,"Klinik Koseling Umum Jambi, Jl. Dr. Tazar No.107, Buluran Kenali, Kec. Telanaipura, Kota Jambi, Jambi 36361, Indonesia",,+62 813-8486-7648,5,3,"103,5694859","-1,5957105"
Poliklinik Psikologi RSJ Daerah Provinsi Jambi,Mental health service,"9HP2+5JX Poliklinik Psikologi RSJ Daerah Provinsi Jambi, Kenali Besar, Kec. Kota Baru, Kota Jambi, Jambi 36361, Indonesia",,,,,"103,5520621","-1,6142201"
Praktek Psikolog,Psychologist,"P4HJ+6VR Praktek Psikolog, Jl. 23, Perintis, Kec. Rimbo Bujang, Kabupaten Tebo, Jambi 37553, Indonesia",,+62 821-8465-1883,5,2,"102,1321463","-1,2718786"
Rumah Sakit Jiwa Jambi,Mental health service,"Rumah Sakit Jiwa Jambi, Jl. Dr. Purwadi No.KM. 9,5, Kenali Besar, Alam Barajo, Jambi City, Jambi 36129, Indonesia",,+62 741 580254,"3,6",85,"103,5517973","-1,6144399"
Arka Trans Psikologi,Medical clinic,"Arka Trans Psikologi, Jl. Bhayangkara No.103, Talang Banjar, Kec. Jambi Tim., Kota Jambi, Jambi 36121, Indonesia",,,,,"103,6319656","-1,6022211"
Primera Psychological Consulting & Assessment Center,Psychologist,"Primera Psychological Consulting & Assessment Center, Apotek Panasea New, Jl. Sunan Giri No.RT 05 Lt. 2, Simpang III Sipin, Kec. Kota Baru, Kota Jambi, Jambi 36124, Indonesia",,,5,1,"103,5951397","-1,621163"
