name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
AMG CLINIC - Klinik Tumbuh Kembang Anak & Klinik Psikologi,Hospital,"AMG CLINIC - Klinik Tumbuh Kembang Anak & Klinik Psikologi, Jl. Bukit Cimanggu City Raya No.42 Blok A1, Cibadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat 16166, Indonesia",http://www.amgclinic.com/,+62 851-0140-3939,"4,9",264,"106,7823787","-6,5554325"
Praktek psikolog - Anahata Layanan Psikologi (Sri Suci),Psychologist,"Praktek psikolog - Anahata Layanan Psikologi (Sri Suci), Jl. Srisuci No.22, Ancol, Regol, Bandung City, West Java 40254, Indonesia",,+62 821-3868-1319,"4,4",41,"107,6154414","-6,9405467"
AMG CLINIC - Klinik Tumbuh Kembang Anak & Klinik Psikologi,Psychologist,"AMG CLINIC - Klinik Tumbuh Kembang Anak & Klinik Psikologi, Jl. Nuansa Hijau No.4 Blok E, Ciomas Rahayu, Kec. Ciomas, Kabupaten Bogor, Jawa Barat 16610, Indonesia",https://amgclinic.co.id/,+62 851-0140-3939,"4,8",20,"106,7675201","-6,6016233"
Yayasan Praktek Psikolog Indonesia Cabang Bandung,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Bandung, Graha Mulia Sejahtera, Jl. Terusan Jakarta No.175 A, Antapani Kulon, Kec. Antapani, Kota Bandung, Jawa Barat 40291, Indonesia",http://www.praktekpsikolog.com/,+62 812-1345-8601,"4,7",14,"107,6578919","-6,9128789"
Terapi & Konsultasi Psikologi Riscka - Hipnoterapi Garut (Wahana Bahagia Psychology Consultant),Psychologist,"Terapi & Konsultasi Psikologi Riscka - Hipnoterapi Garut (Wahana Bahagia Psychology Consultant), Jl. Otista, Tarogong, South Tarogong, Garut Regency, West Java 44151, Indonesia",https://www.wahanabahagia.com/,+62 852-4516-2629,"4,9",91,"107,8869553","-7,1911032"
KLIKPSIKOLOG,Child psychologist,"KLIKPSIKOLOG, Grand Depok City, Cluster Anggrek 2 Blok H8 no 1, Sukmajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat 16413, Indonesia",http://klikpsikolog.com/,+62 811-1182-412,5,47,"106,8326996","-6,4191752"
Klinik Psikologi Anak & Remaja KEMBANG PELANGI,Psychotherapist,"Klinik Psikologi Anak & Remaja KEMBANG PELANGI, Jl. Siliwangi No.4, Dago, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia",,+62 821-2074-3089,5,1,"107,6131083","-6,8846517"
Praktek Psikolog Riyanda Utari S.Psi M.Psi Psikolog,Psychologist,"Praktek Psikolog Riyanda Utari S.Psi M.Psi Psikolog, kamper Elok. 1 Cluster Kamper Bumi Panyawangan Cileunyi 40263, Kabupaten Bandung, Jawa Barat 40623, Indonesia",,+62 817-9292-462,"4,8",21,"107,7394727","-6,9439151"
Praktek Psikolog Novy Yulianty,Psychologist,"Praktek Psikolog Novy Yulianty, Komplek Padasuka Indah A-2, RT.02/RW.13, Padasuka, Kec. Cimahi Tengah, Kota Cimahi, Jawa Barat 40526, Indonesia",,+62 818-0200-1033,"4,8",22,"107,5258731","-6,8696296"
Psikolog Bandung (Magnaka Psikologi 1),Psychologist,"Psikolog Bandung (Magnaka Psikologi 1), Gang Wirabrata Jl. Pasundan No.49, Balonggede, Regol, Bandung City, West Java 40251, Indonesia",https://www.psikologbandung.com/gmb1/,+62 811-1510-900,"4,4",36,"107,6088323","-6,9245923"
