name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Taman Bintang - psikologi dan Terapi Anak,Psychologist,"Taman Bintang - psikologi dan Terapi Anak, Jl. MT. Haryono No.685 C, Wonodri, Semarang Selatan, Semarang City, Central Java 50242, Indonesia",,+62 811-2713-454,"4,8",184,"110,4322416","-6,999246"
"Praktik Psikolog Mandiri Christina Irnawati S.Psi., M.Psi.,Psikolog.,CH.,CT",Psychologist,"Praktik Psikolog Mandiri Christina Irnawati S.Psi., M.Psi.,Psikolog.,CH.,CT, Jl. Kapten Dr. Prakosa Bayan Krajan, RT.05/RW.15, Kadipiro, Banjarsari, Surakarta City, Central Java 57136, Indonesia",,+62 877-5171-3387,"4,9",39,"110,8147594","-7,5280276"
"SINERGI ""Rumah Pelayanan Psikologi""",Psychologist,"SINERGI ""Rumah Pelayanan Psikologi"", Jl. Tentara Pelajar No.235, Rw. III, Kliwonan, Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah 54171, Indonesia",,+62 812-2654-9010,"4,9",85,"109,9787387","-7,7281521"
Praktek Psikolog Setiyo Purwanto MSi.,Psychologist,"Praktek Psikolog Setiyo Purwanto MSi., Gg. Salak 9 Jl. Topesan, RT.2/RW1, Dusun I, Gumpang, Kec. Kartasura, Kabupaten Sukoharjo, Jawa Tengah 57169, Indonesia",http://praktekpsiko.blogspot.co.id/,+62 271 7451123,"4,9",61,"110,7502336","-7,5671969"
"Semarang Hipnoterapi Psikolog klinis - Ihfan N Saputro, S.Psi., M.Psi., Psikolog., C.Ht., NNLP - Binar Kalbu Psikologi",Psychologist,"Semarang Hipnoterapi Psikolog klinis - Ihfan N Saputro, S.Psi., M.Psi., Psikolog., C.Ht., NNLP - Binar Kalbu Psikologi, Jl. WR. Supratman X No.27, RT.01/RW.12, Gisikdrono, Kec. Semarang Barat, Kota Semarang, Jawa Tengah 50149, Indonesia",http://binarkalbupsikologi.carrd.co/,+62 895-3599-47727,5,600,"110,3866674","-6,9952975"
Yayasan Praktek Psikolog Indonesia Cabang Semarang,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Semarang, A+ Room, Jl. Durian Raya No.5, Srondol Wetan, Banyumanik, Semarang City, Central Java 50263, Indonesia",http://www.praktekpsikolog.com/,+62 878-8718-4585,5,4,"110,4177863","-7,061936"
Klinik Psikolog Vira,Psychologist,"Klinik Psikolog Vira, Emerald Garden Blok A11/19, Kota Semarang, Jawa Tengah, Indonesia",https://klinikpsikologvira.com/,,5,43,"110,4664872","-7,0592855"
Pusat Psikologi Terapan Unika Soegijapranata,Psychologist,"Pusat Psikologi Terapan Unika Soegijapranata, Jl. Pawiyatan Luhur IV No.1, Tinjomoyo, Banyumanik, Semarang City, Central Java 50172, Indonesia",,+62 24 86457912,"4,4",36,"110,4039","-7,0244728"
Layanan Psikologi Rumah Mentari,Psychologist,"Layanan Psikologi Rumah Mentari, Jl. Panda Utara I No.4, Palebon, Kec. Pedurungan, Kota Semarang, Jawa Tengah 50246, Indonesia",,+62 813-4320-9695,"4,9",122,"110,4642393","-7,0034113"
Jasa Layanan Psikologi Psikocare,Psychologist,"Jasa Layanan Psikologi Psikocare, Jl. Kauman Raya No.31b, Palebon, Pedurungan, Semarang City, Central Java 50246, Indonesia",,+62 877-8440-0017,5,14,"110,4604319","-7,004893"
Veny Mulyani & Partners Clinic - Praktek Psikolog,Psychologist,"Veny Mulyani & Partners Clinic - Praktek Psikolog, Jl. Kr. Rejo Raya No.10, Banyumanik, Semarang City, Central Java 50263, Indonesia",http://venymulyaniandpartnersclinic.com/,+62 821-1951-8717,5,30,"110,4145668","-7,0746131"
Praktik Psikolog Auliya Ulil (Paradigma Self Development Center),Psychologist,"Praktik Psikolog Auliya Ulil (Paradigma Self Development Center), Jl. Raya Sraten No.59, Sraten Tiga, Gedangan, Tuntang, Semarang Regency, Central Java 50773, Indonesia",https://www.instagram.com/auliyaui/,+62 812-1572-3997,"4,8",18,"110,4674347","-7,3201038"
Praktek Psikolog Spirit Psychology Center Semarang,Psychologist,"Praktek Psikolog Spirit Psychology Center Semarang, Jl. Drupadi No.2A/2, Plombokan, Semarang Utara, Semarang City, Central Java 50171, Indonesia",http://www.spiritpsychologycenter.com/,+62 882-2899-8101,5,5,"110,4092054","-6,9715969"
Praktek Psikolog Indonesia Surakarta,Psychologist,"Praktek Psikolog Indonesia Surakarta, El Samara Office, Jl. Wora Wari No.3, Sriwedari, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57141, Indonesia",https://praktekpsikolog.com/,+62 878-8718-4585,"4,7",11,"110,8133448","-7,5650865"
Konsultasi Psikologi - PKBM Talenta Semarang,Child psychologist,"Konsultasi Psikologi - PKBM Talenta Semarang, Jl. Mintojiwo Dalam V No.8, Gisikdrono, Semarang Barat, Semarang City, Central Java 50149, Indonesia",http://www.pkbmtalenta.sch.id/,+62 817-0570-897,"4,9",45,"110,3880283","-6,9917034"
