name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Psikolog Profesional Surabaya,Psychologist,"Psikolog Profesional Surabaya, No.B1-19, Perumahan Jl. Royal Residence, Babatan, Kec. Wiyung, Surabaya, Jawa Timur 60227, Indonesia",,+62 812-3511-1900,"4,8",183,"112,6789115","-7,3140852"
AYSH CLINIC Lv.19 • The Trauma Expert • Klinik Psikologi dan Hipnoterapi Klinis,Mental health clinic,"AYSH CLINIC Lv.19 • The Trauma Expert • Klinik Psikologi dan Hipnoterapi Klinis, Borong, Cowek, Kec. Purwodadi, Pasuruan, Jawa Timur 67163, Indonesia",https://youtube.com/channel/UCBMHiFRliQaLQYE-s130E5Q,+62 821-3139-0009,5,674,"112,7389901","-7,8081701"
LEMBAGA PSIKOLOGI DAN KONSULTASI ANAK,Child psychologist,"LEMBAGA PSIKOLOGI DAN KONSULTASI ANAK, Jl. Simo Sidomulyo II No.34, Petemon, Kec. Sawahan, Surabaya, Jawa Timur 60252, Indonesia",,+62 821-5498-9993,5,109,"112,7162386","-7,2587009"
"PSIKOLOG KLINIS MALANG ( Dr. (Cand) Tri Wiganti Andayani, S.Psi., M.Psi., Psikolog) RUMAH PSIKOLOGI WIGANTI",Psychologist,"PSIKOLOG KLINIS MALANG ( Dr. (Cand) Tri Wiganti Andayani, S.Psi., M.Psi., Psikolog) RUMAH PSIKOLOGI WIGANTI, Jl. Joyo Grand Kav. Depag III No.10, Merjosari, Lowokwaru, Malang City, East Java 65144, Indonesia",,+62 817-0519-030,5,30,"112,5946721","-7,9412059"
"Psikolog Kediri ""Biro Konsultasi Psikologi Kartika""",Psychologist,"Psikolog Kediri ""Biro Konsultasi Psikologi Kartika"", Jl. Letjend Sutoyo No.52-54, Burengan, Kec. Pesantren, Kabupaten Kediri, Jawa Timur 64131, Indonesia",http://www.biropsikartika.co.id/,+62 812-3538-205,"4,8",127,"112,0288346","-7,8250018"
Biro Psikologi Klinis & Terapan,Psychologist,"Biro Psikologi Klinis & Terapan, Jl. Panglima Sudirman No.10 B, Kartoharjo, Madiun City, East Java 63116, Indonesia",https://www.wiwien.com/,+62 815-5616-543,5,105,"111,5277211","-7,6316321"
Rumah Sehat Psikologi Invira Humania,Psychologist,"Rumah Sehat Psikologi Invira Humania, Royal Cityloft, Jl. Royal Residence no 0207-0208, Sumur Welut, Kec. Lakarsantri, Surabaya, Jawa Timur 60215, Indonesia",http://www.invirahumania.com/,+62 813-3117-3779,5,120,"112,6764994","-7,3218092"
"Psikolog Kediri | Terapi Wicara dan Tumbuh Kembang | Layanan Psikolog Anak, Remaja & Dewasa (Candy Psychological Center)",Psychologist,"Psikolog Kediri | Terapi Wicara dan Tumbuh Kembang | Layanan Psikolog Anak, Remaja & Dewasa (Candy Psychological Center), Jl. Hayam Wuruk No.37, Dandangan, Kec. Kota, Kota Kediri, Jawa Timur 64129, Indonesia",,+62 851-7502-7446,5,246,"112,0168037","-7,8146568"
Biro Psikologi Lestari,Psychologist,"Biro Psikologi Lestari, The Serenity, Jl. Nginden Semolo No.21, RT.000/RW.00, Semolowaru, Sukolilo, Surabaya, East Java 60118, Indonesia",http://www.biropsikologilestari.com/,+62 822-5070-7020,"4,7",68,"112,7728702","-7,2981571"
"Praktek dr.Ahmad Hati Nurwanto dan Dewi Arum Yonitri., S.Psi., M.Psi., Psikolog",Psychologist,"Praktek dr.Ahmad Hati Nurwanto dan Dewi Arum Yonitri., S.Psi., M.Psi., Psikolog, Jl. Imam Bonjol No.23, Tebokan, Boro, Kec. Kedungwaru, Kabupaten Tulungagung, Jawa Timur 66229, Indonesia",,+62 813-5763-3534,5,60,"111,9115747","-8,006307"
