name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
PRAKTEK PSIKOLOG MANDIRI DWI SURYA PURWANTI,Psychologist,"PRAKTEK PSIKOLOG MANDIRI DWI SURYA PURWANTI, Alfamart, Jl. Dr. Sutomo samping No.72 - 73, Sungai Bangkong, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78116, Indonesia",http://dwisuryapurwanti.wordpress.com/,+62 852-4662-8481,4.9,131,109.3169195,-0.0448994
KONSULTASI DAN PELATIHAN PSIKOLOGI INDONESIA ( KINA ),Psychologist,"KONSULTASI DAN PELATIHAN PSIKOLOGI INDONESIA ( KINA ), Komp. Griya Amanah Jl. Berdikari Residence B12, Pal Lima, Kec. Pontianak Bar., Kota Pontianak, Kalimantan Barat 78114, Indonesia",https://psikologikina.framer.website/,+62 821-5435-1233,5,14,109.2806367,-0.0362739
"Maria Nofaola, M.Psi., Psikolog",Psychologist,"Maria Nofaola, M.Psi., Psikolog, Jalan Mohamad Yamin Gg. Uray Hamid No.42, Akcaya, South Pontianak, Pontianak, West Kalimantan 78121, Indonesia",,+62 858-4968-7119,4.8,21,109.317812,-0.0505089
Praktek Psikolog Indonesia Pontianak,Psychologist,"Praktek Psikolog Indonesia Pontianak, Ekoffie Office, Jl. Karya Baru Komplek, Taman Spain No.1, Parit Tokaya, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78121, Indonesia",https://praktekpsikolog.com/,+62 878-8718-4585,4.5,4,109.3367971,-0.0532879
PERSONA CONSULTING Member of PT Persona Optima Indonesia,Psychologist,"PERSONA CONSULTING Member of PT Persona Optima Indonesia, Jl. Dr. Wahidin. S No.88 M, Sungai Jawi, Pontianak Kota, Pontianak, West Kalimantan 78116, Indonesia",http://www.personaoptimaindonesia.com/,+62 895-3788-35999,5,62,109.30652,-0.0344229
Praktek Psikolog Maheswari’79,Psychologist,"Praktek Psikolog Maheswari’79, Jl. Lintas Kalimantan Poros Tengah, Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78616, Indonesia",,+62 813-4572-0531,5,2,111.4697586,0.0426314
"DSP CONSULTING ( Pusat Layanan Psikologi, Konseling, Psikoterapi dan Pengembangan SDM)",Psychologist,"DSP CONSULTING ( Pusat Layanan Psikologi, Konseling, Psikoterapi dan Pengembangan SDM), Alfamart, Jl. Dr. Sutomo Samping No.72 - 73, Sungai Bangkong, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78116, Indonesia",http://dreisonneperforma.com/,+62 821-5323-3131,5,18,109.3169244,-0.0449046
Biro Psikologi Anak & Remaja,Corporate office,"Biro Psikologi Anak & Remaja, Sungai Sengkuang, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78516, Indonesia",http://www.tirtarum.com/,+62 812-3470-7273,5,39,110.6040254,0.1242505
Biro Psikologi DayaJiwa,Mental health clinic,"Biro Psikologi DayaJiwa, Komp. Puri Karya Indah, Jl. Karya Baru No.D1, Parit Tokaya, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78121, Indonesia",,+62 813-4919-9430,5,14,109.3317852,-0.0578858
Biro Konsultasi dan Terapi Psikologi Meraki,Psychotherapist,"Biro Konsultasi dan Terapi Psikologi Meraki, Komplek Cendana Murni Jl. Ujung Pandang No.D.13, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78114, Indonesia",,+62 878-1469-7843,5,5,109.2961825,-0.0326958
Klinik Psikologi RSUD Ade Muhammad Djoen Sintang,Psychologist,"Klinik Psikologi RSUD Ade Muhammad Djoen Sintang, Jl. YC. Oevang Oeray, Sungai Ana, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat, Indonesia",,,4,1,111.523866,0.0725464
Praktik Mandiri Psikolog Umi Kalsum,Health counselor,"Praktik Mandiri Psikolog Umi Kalsum, Jl. H. Rais A. Rachman Gg. Gn. Palong No.20 1, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78115, Indonesia",,+62 812-5330-8125,5,7,109.3241541,-0.0206798
Expert Performa Consulting,Psychologist,"Expert Performa Consulting, Jl. Gusti Hamzah Kompl Graha Permata Pancasila No.B2, Sungai Jawi Dalam, Pontianak Kota, Pontianak, West Kalimantan 78115, Indonesia",,+62 812-9165-4111,5,5,109.3181018,-0.0249209
"Biro Psikologi ""Potensi""",Psychologist,"Biro Psikologi ""Potensi"", Jl. Purnama Agung VII Blok I No 8, Parit Tokaya, Kec. Pontianak Sel., Kota Pontianak, Kalimantan Barat 78121, Indonesia",,+62 813-5002-9111,5,1,109.328287,-0.0610005
Lembaga Pelayanan dan Konsultasi Psikologi Phenomenon,Psychologist,"Lembaga Pelayanan dan Konsultasi Psikologi Phenomenon, Komplek Batara Indah I, Jl. Dr. Wahidin. S No.A2, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78118, Indonesia",,+62 878-1910-1199,3,2,109.3075231,-0.0258091
PSIKOMEDIA,Psychologist,"PSIKOMEDIA, Jl. MT. Haryono, Kapuas Kanan Hulu, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78613, Indonesia",http://psikomedia.net/,+62 812-2717-178,5,1,111.4840685,0.0738068
Rumah Sakit Jiwa,Mental health clinic,"Rumah Sakit Jiwa, Jl. Alianyang No.1, Sungai Bangkong, Pontianak Kota, Pontianak, West Kalimantan 78116, Indonesia",https://klinikutamasuibangkong.kalbarprov.go.id/,+62 877-4383-2223,3.4,69,109.3270314,-0.0281506
"Praktek Psikiater dr. Pascaria N. Togatorop, Sp.KJ.",Psychiatrist,"Praktek Psikiater dr. Pascaria N. Togatorop, Sp.KJ., Jl. Yos Sudarso No.78, Melayu, Singkawang Barat, Singkawang City, West Kalimantan 79113, Indonesia",,+62 813-8383-8056,5,2,108.98483,0.9133621
Klinik Psikologi RSUD Kota Pontianak,Mental health clinic,"Klinik Psikologi RSUD Kota Pontianak, Jl. Komodor Yos Sudarso No.1, Sungai Beliung, Pontianak Barat, Pontianak, West Kalimantan 78244, Indonesia",https://rsudssma.pontianak.go.id/,+62 858-4968-7119,,,109.3053878,-0.0047986
Tes PSIKOLOGI untuk permohonan SIM,Psychologist,"97FP+CFH Tes PSIKOLOGI untuk permohonan SIM, Lorong, Kec. Sambas, Kabupaten Sambas, Kalimantan Barat 79463, Indonesia",,,5,1,109.286237,1.3735553
KANTOR PSIKOLOGI TES KESEHATAN ROHANI DAERAH MELAWI,Mental health clinic,"KANTOR PSIKOLOGI TES KESEHATAN ROHANI DAERAH MELAWI, Jl. Juang No.78672, Paal, Kec. Nanga Pinoh, Kabupaten Melawi, Kalimantan Barat 79672, Indonesia",,,,,111.7498466,-0.3455543
Lentera Psychological Center,Psychologist,"Lentera Psychological Center, Jl. Kol. Sugiono, Sampit, Delta Pawan, Ketapang Regency, West Kalimantan 78811, Indonesia",https://www.instagram.com/lentera_psychological_center,+62 852-4896-2363,5,1,109.9688673,-1.8369073
dr. Jendariah T.SpKJ,Psychotherapist,"dr. Jendariah T.SpKJ, Jl. Putri Dara Nante No.55, Sungai Bangkong, Kec. Pontianak Kota, Kota Pontianak, Kalimantan Barat 78116, Indonesia",,+62 561 747569,3.6,25,109.3268746,-0.0319648
PT Mutualplus Global Resources (Recruitment | Psychological Test | Outsourcing Pontianak),Human resource consulting,"PT Mutualplus Global Resources (Recruitment | Psychological Test | Outsourcing Pontianak), Jl. Tabrani Ahmad No.22A, Sungai Jawi Dalam, Kec. Pontianak Bar., Kota Pontianak, Kalimantan Barat 78244, Indonesia",http://mutualplus.co.id/,+62 561 8129687,5,665,109.3049476,-0.0199268
PRAKTEK PSIKOLOG - KIKI KURNIAWAN,Psychologist,"PRAKTEK PSIKOLOG - KIKI KURNIAWAN, Jl. Bangdes, RT.004/RW.001, Ladang, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78613, Indonesia",https://instagram.com/kikikurniawan86?igshid=ZDdkNTZiNTM=,+62 857-5010-4706,,,111.4861759,0.0636957
Layanan psikologi terapan ghandur,Psychotherapist,"Layanan psikologi terapan ghandur, Komplek Duta Marta No.12a, Sungai Jawi Dalam, Kec. Pontianak Bar., Kota Pontianak, Kalimantan Barat 78244, Indonesia",,+62 812-5791-2447,,,109.3141571,-0.013659
Wellbeing Cita,Psychologist,"Wellbeing Cita, Jl. Veteran No.82, Roban, Kec. Singkawang Tengah, Kota Singkawang, Kalimantan Barat 79112, Indonesia",http://lynk.id/wellbeingcita,+62 812-1406-3300,,,109.0031435,0.9059186
Borneo Psychology Consulting,Psychologist,"4HJ4+MRP Borneo Psychology Consulting, Jl. Lintas Kalimantan Poros Tengah, Bunut, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78561, Indonesia",,+62 852-3196-2127,4.9,20,110.5570728,0.1317044
