name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
DIVA HR CONSULTING,Psychologist,"DIVA HR CONSULTING, Jl. Veteran No.31, RT.26, Sungai Bilu, Banjarmasin Timur, Banjarmasin City, South Kalimantan 70236, Indonesia",,+62 817-7907-7770,4.9,76,114.6132317,-3.3197131
Konsultan Psikologi,Psychologist,"Konsultan Psikologi, bengkel wira, Banjarbaru: Komplek Cahaya Ratu Elok Jl. Sanggiringan.52 Banjarmasin: Komplek Green Residence.39 Jl. Banjar Indah Jalan A. Yani KM 5,7 Kotabaru:, Jl. Raya stagen No.km.7, Kalimantan Selatan, Indonesia",,+62 813-5113-9523,5,22,114.844624,-3.4552415
"Praktek Psikolog (Konsultasi Psikologi) psikotes, Konseling, tes kepribadian, dll",Psychologist,"Praktek Psikolog (Konsultasi Psikologi) psikotes, Konseling, tes kepribadian, dll, Sungai Andai, Sungai Jingah, Kec. Banjarmasin Utara, Kota Banjarmasin, Kalimantan Selatan 70581, Indonesia",,+62 853-4711-1747,4.1,12,114.613542,-3.2332546
Ego Psychology & Educational Services,Psychologist,"Ego Psychology & Educational Services, Jl. Batas Kota, Komet, Kec. Banjarbaru Utara, Kota Banjar Baru, Kalimantan Selatan 70714, Indonesia",,+62 858-2827-4627,5,68,114.8530472,-3.4379576
TraitCare Biro Psikologi Banjarbaru,Psychologist,"TraitCare Biro Psikologi Banjarbaru, Jl. Pandu, Guntungmanggis, Landasan Ulin, Banjarbaru City, South Kalimantan 70714, Indonesia",,+62 821-5639-5890,4.9,18,114.8330722,-3.4581288
Klinik Psikologi KAPITA,Psychologist,"Klinik Psikologi KAPITA, Klinik Millennnia, Jl. Pramuka No.34 Lt.2, Pengambangan, Kec. Banjarmasin Tim., Kota Banjarmasin, Kalimantan Selatan 70654, Indonesia",https://www.instagram.com/kapitapsikobjm,+62 877-1757-2872,3.7,7,114.6244532,-3.3245651
Konsultan Psikolog Ceria,Corporate office,"Konsultan Psikolog Ceria, Jl. Raya Mandiri Jalur I-A, Tj. Pagar, Kec. Banjarmasin Sel., Kota Banjarmasin, Kalimantan Selatan 70249, Indonesia",,+62 877-8062-0890,4.9,11,114.5999621,-3.3624174
Klinik Psikologi Fusfa,Psychologist,"Klinik Psikologi Fusfa, Jl. Panglima Batur Timur No.17, Loktabat Utara, Kec. Banjarbaru Utara, Kota Banjar Baru, Kalimantan Selatan 70711, Indonesia",,,5,1,114.8338018,-3.4392042
MITRASOLUSI Lembaga Psikologi Terapan HIPNOTERAPI,Corporate office,"MITRASOLUSI Lembaga Psikologi Terapan HIPNOTERAPI, Guntungmanggis, Kec. Landasan Ulin, Kota Banjar Baru, Kalimantan Selatan 70721, Indonesia",http://www.irsanfinazli.wordpress.com/,+62 815-2157-7400,4.7,32,114.8026221,-3.4537923
"Tumbuh Psikologi (Praktik Mandiri Psikolog Klinis Rizky Amalia Jannati, M.Psi., Psikolog)",Psychologist,"Tumbuh Psikologi (Praktik Mandiri Psikolog Klinis Rizky Amalia Jannati, M.Psi., Psikolog), Gg. Ampera I, Basirih, Kec. Banjarmasin Bar., Kota Banjarmasin, Kalimantan Selatan 70114, Indonesia",,+62 813-4888-1014,4,4,114.5765978,-3.3342477
Praktek Psikolog,Psychologist,"Praktek Psikolog, Jl. Kebayuran, Palimbangan, Kec. Haur Gading, Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71471, Indonesia",,,5,4,115.2458742,-2.4059849
BIRO KONSULTASI PSIKOLOGI BINAFELIZ FAMILIA BANJARBARU,Psychotherapist,"GRPX+8MG BIRO KONSULTASI PSIKOLOGI BINAFELIZ FAMILIA BANJARBARU, Jl. Gn. Permai Selatan I, Kemuning, Kec. Banjarbaru Selatan, Kota Banjar Baru, Kalimantan Selatan 70732, Indonesia",,,4.2,5,114.8492117,-3.4641861
Biro Psikologi Benefit Sumber Daya Manusia,Psychologist,"Biro Psikologi Benefit Sumber Daya Manusia, Jl. A. Yani No.5,5, Pemurus Dalam, Kec. Banjarmasin Tim., Kota Banjarmasin, Kalimantan Selatan 70238, Indonesia",,,5,1,114.622818,-3.345634
Praktik Mandiri Psikolog Klinis Siti Saniah,Psychologist,"Praktik Mandiri Psikolog Klinis Siti Saniah, Komp, Jl. Komp. Benawa Raya Jl. Arafah No.32, Guntungmanggis, Kec. Landasan Ulin, Kota Banjar Baru, Kalimantan Selatan 70721, Indonesia",,+62 822-5676-4818,5,6,114.7846952,-3.4654831
Pelayanan Psikologi SIM,Medical clinic,"Pelayanan Psikologi SIM, Jl. A. Yani No.17, Landasan Ulin Bar., Kec. Liang Anggang, Kota Banjar Baru, Kalimantan Selatan 70722, Indonesia",,,3.6,9,114.7153018,-3.4434711
Klinik Psikologi SMART,Psychologist,"Klinik Psikologi SMART, Jl. Bumi Mas Raya No.46, Pemurus Baru, Kec. Banjarmasin Sel., Kota Banjarmasin, Kalimantan Selatan 70249, Indonesia",,+62 811-5181-228,,,114.6113682,-3.341141
PELAYANAN UJI PSIKOLOGI SIM,Psychologist,"57X6+43V PELAYANAN UJI PSIKOLOGI SIM, Jl. Jend. Sudirman, Hamalau, Kec. Sungai Raya, Kabupaten Hulu Sungai Selatan, Kalimantan Selatan 71213, Indonesia",,,5,1,115.2601724,-2.8021359
"Praktek Psikiater Dr. H. Asyikin Noor, Sp.KJ M.AP",Psychiatrist,"Praktek Psikiater Dr. H. Asyikin Noor, Sp.KJ M.AP, Jl. Sulawesi No.15B, RT.020/RW.001, Pasar Lama, Banjarmasin Tengah, Banjarmasin City, South Kalimantan 70115, Indonesia",,+62 511 4364773,2.8,44,114.5918097,-3.3106887
