name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Praktik Psikolog SARAH,Psychologist,"Praktik Psikolog SARAH, Jl. Garuda V No.12 A, Palangka, Jekan Raya, Palangka Raya City, Central Kalimantan 74874, Indonesia",,+62 812-5311-3042,5,9,113.8899538,-2.1957314
Pelita Psikologi Palangka Raya,Psychologist,"Pelita Psikologi Palangka Raya, Jl. G. Obos No.21, Menteng, Jekan Raya, Palangka Raya City, Central Kalimantan 73112, Indonesia",,+62 859-4342-8000,4,4,113.9125494,-2.2193614
Elang Psikologi,Psychologist,"Elang Psikologi, Jl. Menteng VII No.22, RT.01/RW.11, Menteng, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 73111, Indonesia",,+62 823-1352-4581,4,1,113.9132766,-2.238002
Praktek Psikolog - Bahasa Jiwa Consulting (Konsultasi dan Asesmen Psikologi),Psychologist,"Praktek Psikolog - Bahasa Jiwa Consulting (Konsultasi dan Asesmen Psikologi), Jl. Merak No.RT 08, Sidorejo, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74111, Indonesia",,+62 812-6945-440,4.5,2,111.6299514,-2.6883329
"Praktek Psikolog Destareni Wewengkang, M.Psi,Psikolog",Psychologist,"Praktek Psikolog Destareni Wewengkang, M.Psi,Psikolog, Jl. Meranti Jl. Pilau Gg. XI No.01, Selat Tengah, Kec. Selat, Kabupaten Kapuas, Kalimantan Tengah 73516, Indonesia",,+62 852-4840-4048,5,6,114.3807416,-2.9959547
Praktik Psikolog Klinis HOME,Psychologist,"Praktik Psikolog Klinis HOME, Jl. Nanas IV No.25, Mentawa Baru Hilir, Mentawa Baru Ketapang, East Kotawaringin Regency, Central Kalimantan 74321, Indonesia",,+62 812-5360-808,5,8,112.9466233,-2.550604
Huma Consulting “Konsultan Psikologi & Sumber Daya Manusia”,Psychologist,"Huma Consulting “Konsultan Psikologi & Sumber Daya Manusia”, Jl. Tjilik Riwut No.KM 1, Palangka, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 73112, Indonesia",http://humapsikologi.com/,+62 821-3787-4971,5,17,113.910708,-2.200083
Praktek Psikolog,Psychologist,"Praktek Psikolog, Jl. Kebayuran, Palimbangan, Kec. Haur Gading, Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71471, Indonesia",,,5,4,115.2458742,-2.4059849
DNA KONSULTAN PSIKOLOGI,Psychologist,"DNA KONSULTAN PSIKOLOGI, Jl. Rajawali III No.20, Bukit Tunggal, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 73112, Indonesia",https://www.instagram.com/dnakonsultan_psikologi/,+62 852-2867-6888,5,8,113.890139,-2.1917191
Praktek psikolog Indonesia Cabang Palangkaraya,Psychologist,"Praktek psikolog Indonesia Cabang Palangkaraya, Jl. Beliang No.40ABPalangkaKec, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia",,,,,113.8945515,-2.2030941
Praktik Psikolog Sampit (Konsep Jiwa),Psychologist,"Praktik Psikolog Sampit (Konsep Jiwa), Jl. Manggis 5B, Mentawa Baru Hilir, Mentawa Baru Ketapang, Kalimantan tengah, Central Kalimantan 74322, Indonesia",https://taplink.cc/konsepjiwa,+62 858-6684-0319,5,23,112.9447931,-2.5544153
PSIKOLOGI SIM RESMI,Psychologist,"PSIKOLOGI SIM RESMI, Baru, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah, Indonesia",,,4.7,11,111.6534282,-2.6731982
Gemilang Konsultan Psikologi,Corporate office,"QVVQ+9XQ Gemilang Konsultan Psikologi, Jl. Bukit Raya XV, Palangka, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia",,+62 852-4944-4851,5,3,113.890091,-2.206648
DOM POTENSIAL PSIKOLOGI & TERAPI,Child health care centre,"DOM POTENSIAL PSIKOLOGI & TERAPI, Jl. Raden Saleh I No.7A, Menteng, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 73111, Indonesia",,+62 813-5274-5845,,,113.9133525,-2.2205075
"Praktek Psikolog Resa, Kota Palangka Raya",Psychologist,"Praktek Psikolog Resa, Kota Palangka Raya, Jl. Tamahas No.09, RT.002/RW.011, Panarung, Kec. Pahandut, Kota Palangka Raya, Kalimantan Tengah 73111, Indonesia",,+62 838-4353-5974,,,113.9321079,-2.2195328
Ruang Temu Psikologi,Psychologist,"Ruang Temu Psikologi, Jl. Temanggung Kanyapi I III No.50, Langkai, Kec. Pahandut, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia",,,,,113.9275601,-2.2390848
Fisioterapi & Psikologi pahari health Palangkaraya,Physical therapy clinic,"QWMJ+2C2 Fisioterapi & Psikologi pahari health Palangkaraya, induk pertokoan samping popo shop, Jl. Kecipir, Panarung, Kec. Pahandut, Kota Palangka Raya, Kalimantan Tengah 74874, Indonesia",,+62 813-1996-5281,5,56,113.9360979,-2.2573907
