name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Thinkplus Psikologi - Kalimantan,Psychologist,"Thinkplus Psikologi - Kalimantan, Jl. Sepinggan Pratama No.6 Blok D1, Sepinggan, Kecamatan Balikpapan Selatan, Kota Balikpapan, Kalimantan Timur 76115, Indonesia",http://thinkpluspsikologi.com/,+62 853-4625-5395,4.9,167,116.8830289,-1.2233943
"Klinik Psikologi Annisya Muthmainnah T, M.Psi., Psikolog",Psychologist,"Klinik Psikologi Annisya Muthmainnah T, M.Psi., Psikolog, Perumahan KORPRI 2, Jl. Apt. Pranoto No.22 Blok L2, Sungai Keledang, Kec. Samarinda Seberang, Kota Samarinda, Kalimantan Timur 75242, Indonesia",,+62 851-5660-7213,5,12,117.1287228,-0.5254146
Cahaya Bunda Balikpapan,Mental health clinic,"Cahaya Bunda Balikpapan, Jl. Bukit Cinta No.96, RT.43, Gunung Malang, Damai, Balikpapan Kota, Balikpapan City, East Kalimantan 76114, Indonesia",http://cahayabundabalikpapan.blogspot.com/,+62 812-5451-1285,4.9,54,116.8347928,-1.2773871
Biro Psikologi Mata Hati,Psychologist,"Biro Psikologi Mata Hati, Jl. Perjuangan Baru No.3, Sempaja Sel., Kec. Samarinda Utara, Kota Samarinda, Kalimantan Timur 75243, Indonesia",,+62 812-5340-3099,4.4,22,117.1565196,-0.4652408
Lembaga Psikologi Prima Solutions,Psychologist,"G5WR+J93 Lembaga Psikologi Prima Solutions, Jl. Kebon Agung, Lempake, North Samarinda, Samarinda City, East Kalimantan 75118, Indonesia",,+62 812-5050-1330,4.8,6,117.1909243,-0.4534844
Praktek Psikolog Indonesia Balikpapan,Psychologist,"Praktek Psikolog Indonesia Balikpapan, Atwork Co-Working Space, Jl. Jenderal Sudirman No.43, RT.07, Klandasan Ilir, Kec. Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76113, Indonesia",https://praktekpsikolog.com/,+62 878-8718-4585,5,4,116.841226,-1.276864
Yayasan Praktek Psikolog Indonesia Cabang Samarinda,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Samarinda, Raja Angin Indonesia, Jl. Ahmad Yani No.15B, Pinang Dalam River, Sungai Pinang, Samarinda City, East Kalimantan 75117, Indonesia",,+62 878-7184-585,5,2,117.1660384,-0.4729274
Tes Psikologi & Kesehatan SIM Samarinda,Psychologist,"F4M8+2HW Tes Psikologi & Kesehatan SIM Samarinda, Jl. Slamet Riyadi, Karang Asam Ulu, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",,,5,37,117.1164551,-0.5173912
Psikologi SIM Arka Trans Psikologi Samarinda,Psychologist,"Psikologi SIM Arka Trans Psikologi Samarinda, Jl. Slamet Riyadi No.15, Karang Asam Ilir, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75126, Indonesia",,+62 812-5381-5959,5,7,117.1167046,-0.5149835
Melodi Psikoterapi Dan Konseling,Psychologist,"Melodi Psikoterapi Dan Konseling, Jalan Jakarta Blok ES no.49, Loa Bakung, Kec. Sungai Kunjang, Kota Samarinda, Kalimantan Timur 75243, Indonesia",,+62 812-3313-0580,5,1,117.0886472,-0.5217438
