name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Praktik Psikolog & Hipnoterapi ''A&R'',Psychotherapist,"Praktik Psikolog & Hipnoterapi ''A&R'', Jl. Kusuma Bangsa No.121, Gn. Lingkas, Kec. Tarakan Tim., Kota Tarakan, Kalimantan Utara, Indonesia",,+62 822-2000-6609,5,2,117.5973035,3.2910021
Praktek Psikolog Klinis Henni Budiastuti,Psychologist,"9H89+G8C Praktek Psikolog Klinis Henni Budiastuti, Karang Harapan, Tarakan Barat, Tarakan City, North Kalimantan, Indonesia",https://www.instagram.com/psychohealing.id/p/CJukwPvHsah/?utm_medium=copy_link,+62 821-7677-3539,5,8,117.5674217,3.365941
"Praktek Psikolog ""KIRANA HATI""",Psychotherapist,"8H7H+CHF Praktek Psikolog ""KIRANA HATI"", Karang Anyar Pantai, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indonesia",,,5,1,117.5789002,3.3135411
Praktik Psikolog Dipita Insightful,Psychologist,"Praktik Psikolog Dipita Insightful, Jl. P. Nias Gg. Rukun No.57, Kampung Satu Skip, Tarakan Tengah, Tarakan City, North Kalimantan 77113, Indonesia",,+62 895-3352-37796,5,2,117.6074183,3.3162732
Layanan Psikologi Balanceway,Psychologist,"Layanan Psikologi Balanceway, Perum Griya Persemaian, Blok III no. 11, Karang Harapan, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indonesia",,+62 813-2000-7992,5,1,117.5715154,3.3527513
Praktek Psikolog,Psychologist,"Praktek Psikolog, Jl. Kebayuran, Palimbangan, Kec. Haur Gading, Kabupaten Hulu Sungai Utara, Kalimantan Selatan 71471, Indonesia",,,5,4,115.2458742,-2.4059849
Pusat Layanan Psikologi (PLP) Mari Berproses,Psychologist,"Pusat Layanan Psikologi (PLP) Mari Berproses, Jl. Lestari No.26, Karang Harapan, Kec. Tarakan Bar., Kota Tarakan, Kalimantan Utara, Indonesia",http://mariberproses.com/,+62 812-5808-1496,5,2,117.5717019,3.345406
Praktik Psikolog Mandiri,Mental health clinic,"Praktik Psikolog Mandiri, apotik berkat, Jl. Kusuma Bangsa No.121, Gn. Lingkas, Kec. Tarakan Tim., Kota Tarakan, Kalimantan Utara 77115, Indonesia",,+62 813-4766-7069,,,117.5969209,3.2901374
Praktik Layanan Psikolog Klinis - Psikologi - Psikotes,Psychologist,"Praktik Layanan Psikolog Klinis - Psikologi - Psikotes, Apotek Intimung, Jl. Panembahan, RT.XI/RW.No 20, Malinau Kota, Kec. Malinau Kota, Kabupaten Malinau, Kalimantan Utara 77554, Indonesia",,+62 813-4689-1270,,,116.619138,3.5839528
Vensikologi,Psychologist,"Vensikologi, Pusat Konsultasi dan Layanan Psikologi, 15, Jl. Yos Sudarso No.12, RT.15/RW.2, Jembatan Besi, Kota Tarakan, Kalimantan Utara 77126, Indonesia",http://vensikologi.com/,+62 812-3108-235,,,117.5903732,3.2898174
Biro Psikologi Karya Prima Insan,Psychologist,"Biro Psikologi Karya Prima Insan, Jl. AMD No.27, RT.10/RW.02, Kampung Satu Skip, Tarakan Tengah, Tarakan City, North Kalimantan 77121, Indonesia",,+62 821-5568-0371,,,117.591932,3.3275366
