name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
"Praktik Psikolog Pangkalpinang Desta Israwanda, M.Psi., Psikolog (Psikotest, Konsultasi & Psikoterapi)",Psychologist,"Praktik Psikolog Pangkalpinang Desta Israwanda, M.Psi., Psikolog (Psikotest, Konsultasi & Psikoterapi), Jl. Kejaksaan No.53, Kacang Pedang, Kec. Taman Sari, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684, Indonesia",,+62 856-6946-9794,5,1,"106,105827","-2,1259614"
Layanan Psikologi Growth,Psychologist,"Layanan Psikologi Growth, Komplek perumahan Griya Permata Blok B 11, Air Merbau, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33414, Indonesia",https://www.instagram.com/growthpsychologicalcenter/profilecard/?igsh=bnhqYTRmNjRoczVi,+62 877-4922-3123,5,5,"107,665184","-2,7152154"
LEMBAGA PSIKOLOGI TERAPAN PERSONA Pangkalpinang Bangka,School,"LEMBAGA PSIKOLOGI TERAPAN PERSONA Pangkalpinang Bangka, Jl. Sungai Selan No.KM 05, Mangkol, Kec. Pangkalan Baru, Kabupaten Bangka Tengah, Kepulauan Bangka Belitung 33171, Indonesia",,,5,3,"106,0900402","-2,1550698"
RUMAH BINTANG CERIA,Child health care centre,"RUMAH BINTANG CERIA, Semabung Lama, Kec. Bukitintan, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684, Indonesia",https://www.rumahbintangbangka.web.id/,+62 853-7709-9199,5,43,"106,1296295","-2,1341722"
Biro Psikologi Qtha Bangka,Psychologist,"4465+5W5 Biro Psikologi Qtha Bangka, Unnamed Road, Parit Padang, Sungai Liat, Kabupaten Bangka, Kepulauan Bangka Belitung 33215, Indonesia",http://psikologiqtha.blogspot.com/,+62 852-6736-5647,5,1,"106,109861","-1,889606"
"Praktek Psikolog Anak dan Remaja Tiara Erlita M.psi., Psikolog",Psychotherapist,"V45C+FM5 Praktek Psikolog Anak dan Remaja Tiara Erlita M.psi., Psikolog, Jl. Soekarno Hatta, Semabung Baru, Kec. Bukitintan, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684, Indonesia",,+62 821-7737-9368,4,1,"106,1217455","-2,1414054"
Biro Psikologi Insight Belitung,Psychologist,"7JCM+X7F Biro Psikologi Insight Belitung, Jl. Lettu Mad Daud, Parit, Kec. Tj. Pandan, Kabupaten Belitung, Kepulauan Bangka Belitung 33411, Indonesia",,+62 821-7567-7718,,,"107,6331774","-2,7275691"
Klinik Psikologi RSJ Babel,Hospital,"Klinik Psikologi RSJ Babel, Jl. Jenderal Sudirman No.345, Parit Padang, Sungai Liat, Kabupaten Bangka, Kepulauan Bangka Belitung 33211, Indonesia",,,,,"106,1113101","-1,8965351"
"Praktek dr. Feilin Tanita, Sp. KJ",Psychiatrist,"V496+Q74 Praktek dr. Feilin Tanita, Sp. KJ, Jl. Masjid Jamik, Masjid Jamik, Kec. Rangkui, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684, Indonesia",https://instagram.com/psikiater_dr.feilintanita?igshid=YmMyMTA2M2Y=,,5,4,"106,1106995","-2,1306177"
Psikologi untuk SIM,Psychotherapist,"V4WH+36Q Psikologi untuk SIM, Jl. RE. Martadinata, Ampui, Pangkal Balam, Pangkal Pinang City, Bangka Belitung Islands 33684, Indonesia",,,"2,2",6,"106,1281002","-2,1047939"
Tes Psikologi untuk SIM,Corporate office,"V4M5+VFV Tes Psikologi untuk SIM, Jl. Stania, Taman Bunga, Kec. Gerunggang, Kota Pangkal Pinang, Kepulauan Bangka Belitung 33684, Indonesia",,,"3,7",3,"106,1086815","-2,1152599"
BIRO PSIKOLOGI SAYANG JIWA,Health consultant,"BIRO PSIKOLOGI SAYANG JIWA, Jalan Tiram IV No.110, Pasir Garam, Pangkal Balam, Pangkal Pinang City, Bangka Belitung Islands 33115, Indonesia",,+62 819-1023-1223,,,"106,121207","-2,1043551"
Praktik Psikolog,Medical office,"Praktik Psikolog, Jl. Batin Tikal No.105, Sri Menanti, Sungai Liat, Kabupaten Bangka, Kepulauan Bangka Belitung 33215, Indonesia",,+62 821-8151-1995,,,"106,1120961","-1,8581199"
