name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Lembaga Psikologi Terapan Persona,Psychologist,"Lembaga Psikologi Terapan Persona, Komplek Ruko The Summer, Jl. Raja Isa Blk. B2 No.11-12, Belian, Kec. Batam Kota, Kepulauan Riau, Indonesia",,+62 812-7737-8577,"4,8",5,"104,055999","1,1205556"
Yayasan Praktek Psikolog Indonesia Cabang Batam,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Batam, Bee Office, Komplek Ruko Mall Botani 2, Blok A7, RT.1/RW.2, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia",http://www.praktekpsikolog.com/,+62 878-8718-4585,5,2,"104,085227","1,1077145"
"Praktik Psikolog Klinis Anak & Remaja - Lianda Marta, S.Psi., M.Psi., Psikolog",Psychologist,"Praktik Psikolog Klinis Anak & Remaja - Lianda Marta, S.Psi., M.Psi., Psikolog, Ruko Taman Niaga Sukajadi Blok G3, Lt. 3, Kota Batam, Kepulauan Riau 29444, Indonesia",https://liandamarta.com/psikolog-batam/,+62 857-1700-2750,"4,7",3,"104,0344287","1,092473"
"Praktik Psikolog Klinis - Anak, Remaja, dan Dewasa - Paramita Estikasari, M.Psi, Psikolog",Psychologist,"Praktik Psikolog Klinis - Anak, Remaja, dan Dewasa - Paramita Estikasari, M.Psi, Psikolog, Perumahan Grand BSI Cluster Kerinci Blok C10, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29464, Indonesia",,+62 821-7365-5794,5,10,"104,0912488","1,1141891"
Klinik Kesehatan untuk Pemohon SIM dan psikologi test,Corporate office,"Klinik Kesehatan untuk Pemohon SIM dan psikologi test, Ruko Villa Bunga Blok A NO 7, Sukajadi, Batam Kota, Batam City, Riau Islands 29444, Indonesia",,+62 811-6618-222,5,2,"104,0185376","1,1191532"
POTENPSI | Psikolog Batam | Jasa konsultan psikologi Batam | Praktik Psikolog Batam,Psychologist,"POTENPSI | Psikolog Batam | Jasa konsultan psikologi Batam | Praktik Psikolog Batam, Obenk Kaos Batam, Ruko regency park blok i No. 6, pelita Dekat Bank BTN Pelita, Lantai 2 T, Kota Batam, Kepulauan Riau 29433, Indonesia",http://www.psikologbatam.com/,,5,2,"104,0180138","1,1444681"
Hipnoterapi Tanjungpinang - konsultasi psikologis,Hypnotherapy service,"Hipnoterapi Tanjungpinang - konsultasi psikologis, gang kiri pertama sebelum bundaran 1, Kijang Kencana IV No.mor 54 Blog G, Kota Tanjung Pinang, Kepulauan Riau 29112, Indonesia",https://s.id/Hipnoterapi-Tanjungpinang,+62 853-8888-8686,"4,9",28,"104,5172873","0,9220041"
"Praktik Psikolog Geraisa Dayura Chanet, M.Psi., Psikolog.",Child psychologist,"Praktik Psikolog Geraisa Dayura Chanet, M.Psi., Psikolog., Jl. Beverly Garden Harbourfront - Batam Centre Blok BG No. 31, Belian, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29464, Indonesia",http://wa.me/6283132392993,+62 831-3239-2993,5,3,"104,0634173","1,1230508"
Praktek Psikolog,Consultant,"43G2+8M Praktek Psikolog, Teluk Tering, Batam Kota, Batam City, Riau Islands 29444, Indonesia",,+62 813-7201-1086,"3,8",4,"104,0515328","1,1257808"
Biro Psikologi Kayisa,Psychologist,"Biro Psikologi Kayisa, Jl. Raya Dompak No.KM. 9, Sei Jang, Bukit Bestari, Tanjung Pinang City, Riau Islands 29877, Indonesia",https://www.instagram.com/kayisa.psikologi/,+62 818-0910-7962,5,1,"104,479868","0,8955975"
Biro Psikologi MY Psikolog,Psychologist,"Biro Psikologi MY Psikolog, Jl. Handjoyo Putro Komplek Ruko Permata Artha 2 No.14, Batu IX, Tanjungpinang Timur, Tanjung Pinang City, Riau Islands 29125, Indonesia",https://api.whatsapp.com/send?phone=6281260280280&fbclid=PAAabaGbB0NOpvbuLlbmjXfXZfqe71wk4x26nRLcvNoB7OZ-Crh-yG0UjCj3U,+62 812-6028-0280,5,3,"104,5059279","0,9119441"
"Hipnoterapi Batam,Hipnoterapi kecemasan(emosional,stress,depresi),terapi anak,Quantum jump,NLP,ICEOHypnotherapyBatam,meditasi",Psychologist,"Hipnoterapi Batam,Hipnoterapi kecemasan(emosional,stress,depresi),terapi anak,Quantum jump,NLP,ICEOHypnotherapyBatam,meditasi, Ruko, Jl. Ciptaland Blk. Kamboja No.1, Patam Lestari, Kec. Sekupang, Kota Batam, Kepulauan Riau 29424, Indonesia",https://g.co/kgs/AzHsBn,+62 857-9221-7947,5,45,"103,9780283","1,1328088"
Empathetic Consulting - Layanan Psikologi dan Kesehatan Mental,Psychologist,"Empathetic Consulting - Layanan Psikologi dan Kesehatan Mental, Jl. Pantai Impian Gg.Trubuk No.49A, Kp. Baru, Kec. Tanjungpinang Bar., Kota Tanjung Pinang, Kepulauan Riau 29113, Indonesia",,+62 812-1000-3112,5,4,"104,4486637","0,9058157"
"Aribowo A, S.Psi, Psikolog - Praktek Psikologi",Psychologist,"Aribowo A, S.Psi, Psikolog - Praktek Psikologi, Jl. Dang Merdu No.KM. 2, Batu Besar, Kecamatan Nongsa, Kota Batam, Kepulauan Riau 29466, Indonesia",https://hipnoterapi.donovanhostt.com/,+62 851-7202-9042,5,3,"104,1204309","1,143401"
Batam Mental Health & Wellness Center / Batong Educare,Psychologist,"Batam Mental Health & Wellness Center / Batong Educare, ruko tiban sentra niaga (tisenia, Jl. Gajah Mada No.12 blok D, Patam Lestari, Kec. Sekupang, Kota Batam, Kepulauan Riau 29424, Indonesia",,+62 821-7206-7322,5,1,"103,9748167","1,1125653"
Psikotest SIM (3Ds Consultant),Psychopedagogy clinic,"XCW7+W3R Psikotest SIM (3Ds Consultant), Jl. Jenderal Ahmad Yani, Sungai Lakam, Kec. Karimun, Kabupaten Karimun, Kepulauan Riau 29664, Indonesia",https://instagram.com/3dsconsultant,+62 813-6464-8333,5,1,"103,4116028","0,996627"
Lembaga Psikologi EUREKA Batam,Corporate office,"Lembaga Psikologi EUREKA Batam, Pasar Mega legenda Blok A2 No.33A, Baloi Permai, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia",,+62 852-7400-9834,"4,3",3,"104,0600198","1,1006488"
Alfa Hepi Consultant - Biro Konsultasi dan Layanan Psikologi,Psychologist,"Alfa Hepi Consultant - Biro Konsultasi dan Layanan Psikologi, Jl. Gelatik 4 No.41, Belian, Batam Kota, Batam City, Riau Islands 29464, Indonesia",https://instagram.com/alfahepiconsultant,+62 819-2716-2662,,,"104,0832245","1,1054588"
Biro Psikologi Sakinah / Konsultasi Psikologi,Psychologist,"WF7F+V44 Biro Psikologi Sakinah / Konsultasi Psikologi, Jl. Gatot Subroto No.26, Kampung Bulang, Tanjungpinang Timur, Tanjung Pinang City, Riau Islands 29122, Indonesia",,+62 811-779-625,3,2,"104,4724536","0,9143413"
Tabula Psychology Center,Psychologist,"Tabula Psychology Center, Komplek Bumi Riau Makmur, Blk. B Jl. Laksamana Bintan No.8, Sungai Panas, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia",https://tabula.id/,+62 823-9234-5332,5,2,"104,0293233","1,1301115"
"Hypnoteraphy Malaysia,Quantum jump,LOA,Meditasi,SEDONA,hypnosis,NLP,ICEOHYPNOTHERAPY, hipnoterapi batam.",Psychologist,"Hypnoteraphy Malaysia,Quantum jump,LOA,Meditasi,SEDONA,hypnosis,NLP,ICEOHYPNOTHERAPY, hipnoterapi batam., Jl. Golden City Residence, Tj. Buntung, Kec. Bengkong, Kota Batam, Kepulauan Riau 29426, Indonesia",https://iceohipnoterapibatam.blogspot.com/,+60 17-766 5603,,,"104,0390024","1,1667117"
MASTER KLINIK TERAPI ALFIANO BATAM,Physical therapy clinic,"2XW9+WQQ MASTER KLINIK TERAPI ALFIANO BATAM, Unnamed Road, Buliang, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29425, Indonesia",,+62 823-3400-0141,5,2,"103,9694969","1,0473396"
Arka Pelayanan Tes Psikologi Sim,Medical clinic,"4299+FHM Arka Pelayanan Tes Psikologi Sim, Jl. Baloi Ditpam, Sukajadi, Kec. Batam Kota, Kota Batam, Kepulauan Riau 29444, Indonesia",,,,,"104,0189186","1,1187074"
Lembaga Psikologi Eureka Batu Aji Batam,Child psychologist,"Lembaga Psikologi Eureka Batu Aji Batam, Di atas Kantor Pos, Ruko Buana Impian Blok B1. 25, Tembesi, Kota Batam, Kepulauan Riau, Indonesia",https://www.instagram.com/lembaga_psikologi_eureka.b.aji/,+62 852-7400-9834,,,"104,0031651","1,0337226"
Lembaga Psikologi Eureka Batu Aji Batam,Child psychologist,"Lembaga Psikologi Eureka Batu Aji Batam, Lokasi di dekat pos satpam dan ada pamflet Yayasan Eureka Jamil Jiwa, Perum. Medio Raya Blk. A No.2, Tembesi, Kec. Sagulung, Kota Batam, Kepulauan Riau 29439, Indonesia",https://www.instagram.com/lembaga_psikologi_eureka.b.aji/,+62 823-8797-7697,,,"103,9787737","1,0276405"
