name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
ANISA Rumah Psikologi,Psychologist,"ANISA Rumah Psikologi, Jl. Harapan No.20, Sepang Jaya, Kec. Kedaton, Kota Bandar Lampung, Lampung 35136, Indonesia",,+62 821-7719-8711,"4,8",40,"105,2618925","-5,373172"
Frame Psychology Consultant / Praktik Psikolog,Psychologist,"Frame Psychology Consultant / Praktik Psikolog, Jl. Cendana No.06, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35142, Indonesia",,+62 852-6752-4810,5,36,"105,2514287","-5,3848603"
"Praktik Psikologi Octa Reni Setiawati, S.Psi., M.Psi., Psikolog",Psychologist,"Praktik Psikologi Octa Reni Setiawati, S.Psi., M.Psi., Psikolog, Perumahan Bumi Puspa Kencana, Blk. E-D Jl. Pramuka No.3, Kota Bandar Lampung, Lampung, Indonesia",,+62 821-5113-0880,"4,5",22,"105,2295905","-5,3721666"
Klinik Psikologi UM Lampung,Psychologist,"Klinik Psikologi UM Lampung, Jl. Prof. Dr. Hamka, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131, Indonesia",https://www.instagram.com/fakultas_psikologi/,+62 822-7896-8901,5,6,"105,3105295","-5,3801393"
Biro Konsultasi Psikologi Hijau,Psychologist,"Biro Konsultasi Psikologi Hijau, Lucky Arya Residence 2, Jl. Hos Cokroaminoto Barat No.18, Pajar Agung, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373, Indonesia",https://ukinstitute.org/#biro,+62 811-666-846,5,42,"104,9398538","-5,3686887"
Mata Hati,Child psychologist,"Mata Hati, Enggal, Jl. Mawar No.28, Rw. Laut, Engal, Kota Bandar Lampung, Lampung 35118, Indonesia",,+62 812-7144-4900,"4,8",33,"105,2631803","-5,4229242"
"Praktek Psikolog Mandiri (Diah Utaminingsih, S.Psi., M.A., Psi.)",Psychologist,"Praktek Psikolog Mandiri (Diah Utaminingsih, S.Psi., M.A., Psi.), Gg. Dewi Sri No.96, Tj. Raya, Kec. Kedamaian, Kota Bandar Lampung, Lampung 35227, Indonesia",,+62 812-7262-6858,5,52,"105,2764353","-5,4231515"
"Yurni, M.Psi.,Psikolog",Psychologist,"Yurni, M.Psi.,Psikolog, Jl. Kepayang Jl. Cendana I No.16/33, Rajabasa, Bandar Lampung City, Lampung 35144, Indonesia",https://praktek-psikolog-yurni-mpsipsikolog.business.site/,+62 811-728-420,5,72,"105,2191674","-5,3750383"
Klinik Psikologi Rumah ASA,Psychologist,"Klinik Psikologi Rumah ASA, Perum Griya Sejahtera No.5 Blok E, Gn. Terang, Kec. Langkapura, Kota Bandar Lampung, Lampung 35157, Indonesia",,+62 813-3953-4208,5,2,"105,238844","-5,3850477"
"Praktik Any Nurhayati, MSi",Psychologist,"Praktik Any Nurhayati, MSi, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35148, Indonesia",,,5,2,"105,2490542","-5,3825604"
Biro Psikologi Harmoni,Psychotherapist,"Biro Psikologi Harmoni, Jl. Sutan Jamil No.9, Gedong Meneng, Rajabasa, Bandar Lampung City, Lampung 35148, Indonesia",https://harmonibiropsikologi.blogspot.co.id/,+62 813-7986-2876,"3,9",35,"105,244265","-5,377031"
Praktek Psikolog Biro Psikologi Tentrem Hati,Psychologist,"Praktek Psikolog Biro Psikologi Tentrem Hati, Jl. Wolter Monginsidi No.156a LT. 2, Pengajaran, Teluk Betung Utara, Bandar Lampung City, Lampung 35215, Indonesia",,+62 811-7900-071,5,6,"105,2535686","-5,4307357"
Layanan Psikologi JEDA,Psychologist,"Layanan Psikologi JEDA, Jl. Ir. H. Juanda No.19, Pahoman, Teluk Betung Utara, Bandar Lampung City, Lampung 35228, Indonesia",,+62 851-2103-8996,5,6,"105,2701415","-5,4292553"
Payung Qalbu Psikocenter,Psychologist,"Payung Qalbu Psikocenter, Perumahan Kopkar Dwi Karya, Blk. B1 No.12, Lempuyang Bandar, Way Pangubuan, Central Lampung Regency, Lampung 35213, Indonesia",http://instagram.com/payungqalbupsikocenter,+62 812-1239-7450,5,22,"105,2253301","-4,8030724"
Sabaii Psikologia,Psychologist,"Sabaii Psikologia, Jl. Bunga Sedap Malam Raya No.81, Perumnas Way Kandis, Tanjung Senang, Bandar Lampung City, Lampung 35131, Indonesia",,+62 812-7035-2483,5,11,"105,288913","-5,3634689"
Klinik Tumbuh Kembang Anak Pelangi Hati,Physical therapy clinic,"Klinik Tumbuh Kembang Anak Pelangi Hati, Gotong Royong, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35214, Indonesia",http://www.klinikpelangihati.com/,+62 721 6013348,"4,9",71,"105,2565439","-5,4248205"
Biro Psikologi Quantum Nusa Konsultan,Psychologist,"Biro Psikologi Quantum Nusa Konsultan, Jl. RA Kartini No.28, Purwosari, Kec. Metro Utara, Kota Metro, Lampung 34124, Indonesia",https://quantumnusa.com/,+62 852-6997-9512,"4,8",13,"105,2874892","-5,0921231"
Konsultasi Psikologi dan Terapi UML,Psychologist,"J8C6+969 Konsultasi Psikologi dan Terapi UML, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35131, Indonesia",,,5,1,"105,3105443","-5,380099"
Psikolog Klinis Elsy,Psychotherapist,"Psikolog Klinis Elsy, Jl. Agathis Blok TA.1 No.5, Way Halim Permai, Kec. Sukarame, Kota Bandar Lampung, Lampung 35313, Indonesia",,+62 813-6941-0008,5,2,"105,282333","-5,3870161"
"Nurhasanah, M.Psi.,Psikolog",Psychologist,"Nurhasanah, M.Psi.,Psikolog, Jl. Johar 1, Pringsewu Tim., Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373, Indonesia",,+62 852-2823-5412,5,2,"104,9882737","-5,3612306"
Biro Psikologi Psiko Mandiri,Psychologist,"J6F9+XM4 Biro Psikologi Psiko Mandiri, Jl. Kepayang Gg. Cendana, Rajabasa, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35152, Indonesia",,+62 811-728-420,5,5,"105,2192155","-5,3751078"
Mata Hati Metro,Child psychologist,"Mata Hati Metro, Jl. Jambu No.33, Yosomulyo, Kec. Metro Pusat, Kota Metro, Lampung 34111, Indonesia",,+62 822-6018-9900,5,5,"105,321714","-5,0984199"
Layanan Psikologi Remaja Lampung - Biro Psikologi Sahabat Remaja,Psychologist,"Layanan Psikologi Remaja Lampung - Biro Psikologi Sahabat Remaja, Jl. Z.A Abidin Pagar Alam.51D, LK II No.Rt 01, Gedong Meneng, Kec. Rajabasa, Kota Bandar Lampung, Lampung 35145, Indonesia",https://www.instagram.com/bp_sahabatremaja/profilecard/?igsh=NWdlanRzM29kNXhn,,,,"105,2438075","-5,3751681"
LPT ANIMA,Psychopedagogy clinic,"LPT ANIMA, Jl. Rekso Bandung Gang Musyawarah No. 27, Labuhan Ratu, Kedaton, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35136, Indonesia",,+62 811-7258-969,"4,8",4,"105,2629542","-5,3696606"
Lamban Giska,Psychopedagogy clinic,"J6H7+76F Lamban Giska, Kemiling Permai, Kec. Kemiling, Kota Bandar Lampung, Lampung 35152, Indonesia",,+62 852-6996-6068,5,1,"105,2130567","-5,3718024"
"Biro Konsultasi Psikologi ""Hijau""",Psychologist,"QXF6+2WQ Biro Konsultasi Psikologi ""Hijau"", Kali Rejo, Kec. Kalirejo, Kabupaten Lampung Tengah, Lampung 34174, Indonesia",,,,,"104,9623473","-5,227411"
Grahita Indonesia,Psychologist,"Grahita Indonesia, Jln Baru GG Jasela No.5, Sinar Petir, Kec. Talang Padang, Kabupaten Tanggamus, Lampung 35377, Indonesia",,+62 853-1154-4288,5,2,"104,786371","-5,3526176"
PRAKTIK PSIKOLOG KLINIS (AZOLA ARCILIA FAJUITA),Education center,"V8XG+WHJ PRAKTIK PSIKOLOG KLINIS (AZOLA ARCILIA FAJUITA), Yosomulyo, Kec. Metro Pusat, Kota Metro, Lampung, Indonesia",,,,,"105,3263761","-5,1001612"
Kantor Insight Consulting Rumah Psikologi & Tumbuh Kembang Anak,Psychologist,"JXQQ+P45 Kantor Insight Consulting Rumah Psikologi & Tumbuh Kembang Anak, Jl. Johar 1, Sidoharjo, Kec. Pringsewu, Kabupaten Pringsewu, Lampung 35373, Indonesia",,+62 821-8414-4811,5,7,"104,9878538","-5,3607451"
HOUSE OF SUCCESS,Psychologist,"HOUSE OF SUCCESS, Ruko Eldorado), Kedaton, Jl. Untung Suropati No.26, Labuhan Ratu, Kec. Kedaton, Kota Bandar Lampung, Lampung 35141, Indonesia",,+62 821-7934-9466,3,2,"105,256082","-5,3680029"
Grahita Indonesia Bandar Lampung,Psychologist,"J74W+WVP Grahita Indonesia Bandar Lampung, Gg. Mulya, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35122, Indonesia",,,5,1,"105,2971976","-5,3926554"
"Octa Reni Setiawati, S.Psi., M.Psi., Psikolog",Psychologist,"Octa Reni Setiawati, S.Psi., M.Psi., Psikolog, Jl. Dr. Sutomo No.131, East Hadimulyo, Metro Pusat, Metro City, Lampung 34111, Indonesia",,+62 811-1840-911,5,2,"105,3021915","-5,0939906"
Psikolog Retnoriani,Psychologist,"Psikolog Retnoriani, Jl. Bukit Kemiling Permai Raya Blk. W No.77, Kemiling Permai, Kec. Kemiling, Kota Bandar Lampung, Lampung 35152, Indonesia",,+62 815-4043-328,,,"105,2127251","-5,37343"
Biro Psikologi Lampung PROPSYCHOLOGY,Corporate office,"MX3Q+6JF Biro Psikologi Lampung PROPSYCHOLOGY, Jl. Lap. Megaria, Podomoro, Pringsewu, Pringsewu Regency, Lampung 35373, Indonesia",,+62 851-4117-6213,"4,3",4,"104,9890467","-5,3469416"
"dr.Lyla, Sp. KJ (Psikiater)",Psychotherapist,"dr.Lyla, Sp. KJ (Psikiater), Jl. AH Nasution No.1980, Adirejo, Kec. Pekalongan, Kabupaten Lampung Timur, Lampung 34111, Indonesia",,,5,1,"105,3452782","-5,0915867"
"dr. Ni Wayan Dewi PA Sp.KJ.,Psikiater",Psychiatrist,"dr. Ni Wayan Dewi PA Sp.KJ.,Psikiater, Jl. Raya Punggur, Toto Katon, Punggur, Central Lampung Regency, Lampung 34152, Indonesia",,,"4,9",15,"105,2753211","-5,0511612"
Lentera Rumah Psikologi (Praktik Psikolog Mandiri),Psychologist,"MPRW+M9P Lentera Rumah Psikologi (Praktik Psikolog Mandiri), Sri Bawono, Kec. Bandar Sribawono, Kabupaten Lampung Timur, Lampung 34389, Indonesia",,,,,"105,745946","-5,3082921"
Layanan Psikologi,Medical clinic,"Layanan Psikologi, Jl. M. Husni Thamrin No.80, Gotong Royong, Kec. Tj. Karang Pusat, Kota Bandar Lampung, Lampung 35119, Indonesia",,,,,"105,2532036","-5,4244093"
Rhys Layanan Psikologi,Medical clinic,"V8Q5+J32 Rhys Layanan Psikologi, Jl. Diponegoro, Imopuro, Kec. Metro Pusat, Kota Metro, Lampung 34111, Indonesia",,,,,"105,3076258","-5,1109942"
Terapi Wicara dan Tumbuh Kembang Anak - Bandar Lampung - Birru Care,Speech pathologist,"Terapi Wicara dan Tumbuh Kembang Anak - Bandar Lampung - Birru Care, Perumahan Springhill, Jl. Amethys 1 No.5, Kemiling Permai, Kec. Kemiling, Kota Bandar Lampung, Lampung 35152, Indonesia",https://birru.co/,+62 823-7383-2032,"4,9",49,"105,2126686","-5,382544"
Forum Komunikasi Keluarga Anak Dengan Kecacatan,Child psychologist,"Forum Komunikasi Keluarga Anak Dengan Kecacatan, Jalan Pulau Bawean No.52, Gang Titilas, Kec.Sukarame, Kel.Sukarame, Sukarame, Kec. Sukarame, Kota Bandar Lampung, Lampung 35122, Indonesia",,+62 721 705230,,,"105,294433","-5,386894"
Layanan Psikologi,Medical clinic,"CGH2+MH7 Layanan Psikologi, Jl. Jenderal Sudirman, Negeri Bumi Putra, Kec. Blambangan Umpu, Kabupaten Way Kanan, Lampung 34764, Indonesia",,,,,"104,5014172","-4,5708452"
