name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
ABIRA Psikologi,Psychologist,"ABIRA Psikologi, Jl. Prabu Rangkasari, Dasan Cermen, Timur, Kota Mataram, Nusa Tenggara Bar. 83232, Indonesia",,+62 877-0311-7971,5,55,"116,1305549","-8,6117653"
Harmony Kids & Psikologi Center,Psychologist,"Harmony Kids & Psikologi Center, Perumahan Green Kodya Residence, Jl. Gajah Mada Blok J2, Jempong Baru, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar., Indonesia",,+62 896-6824-1468,"4,9",55,"116,1007951","-8,6169168"
Psikologi Rumah Hijau Consulting (RH Consulting),Psychologist,"Psikologi Rumah Hijau Consulting (RH Consulting), Jl. Batu Bolong No.54, Pagutan Bar., Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83127, Indonesia",,+62 819-1745-7930,"4,9",21,"116,107407","-8,612264"
Lembaga Psikologi dan Tumbuh Kembang YARSI,Psychologist,"94M3+6MH Lembaga Psikologi dan Tumbuh Kembang YARSI, Ali Batu, Jl. TGH Mansyur Jl. Lingkar Selatan, Pagutan, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83361, Indonesia",,+62 895-3846-26738,5,11,"116,1042276","-8,61693"
Biro Dinamika Psikologis Mataram Lombok NTB - Psikolog Klinis Profesional Mataram Lombok NTB,Psychologist,"Biro Dinamika Psikologis Mataram Lombok NTB - Psikolog Klinis Profesional Mataram Lombok NTB, Depan Kava Kafe, Ruko Nomor, Perumahan Grand Lingkar No.9, Jempong Baru, Kec. Sekarbela, Kota Mataram, Nusa Tenggara Bar. 83116, Indonesia",,+62 819-9123-4563,"4,9",112,"116,0971629","-8,6170483"
Biro Psikologi Genetiga Mental Care,Psychologist,"Biro Psikologi Genetiga Mental Care, Depan Kantor Kepala Desa, Bonjeruk Dalam, Bonjeruk, Nusa Tenggara Bar. 83561, Indonesia",https://www.instagram.com/genetiga.mentalcare/?hl=id,+62 878-6113-1295,"4,9",23,"116,2293912","-8,6435468"
"KANTOR CABANG RHYS PSIKOLOGI MATARAM , NTB",Psychologist,"KANTOR CABANG RHYS PSIKOLOGI MATARAM , NTB, Jl. Majapahit No.12f, Kekalik Jaya, Kec. Sekarbela, Kota Mataram, Nusa Tenggara Bar. 83114, Indonesia",,+62 819-1780-8303,5,1,"116,0875417","-8,584956"
"Biro Psikologi KATARSIS (psikolog Drs. H. Syamsul Buhari.,M.Kes)",Psychologist,"Biro Psikologi KATARSIS (psikolog Drs. H. Syamsul Buhari.,M.Kes), Perum Elit Rinjani Asri IA/4, Jati Sela, Kec. Gunungsari, Kabupaten Lombok Barat, Nusa Tenggara Bar., Indonesia",,+62 818-0526-9712,5,1,"116,0873481","-8,5506798"
Lembaga Psikologi NTN,Psychologist,"Lembaga Psikologi NTN, Jl. Dr. Soetomo No.19, Karang Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83123, Indonesia",https://www.facebook.com/ntn.psikologi,+62 819-1745-7930,"4,5",2,"116,108425","-8,572483"
RHYS PSIKOLOG CABANG LOMBOK TIMUR,Psychologist,"8GXP+VM9 RHYS PSIKOLOG CABANG LOMBOK TIMUR, Jl. TGH. Zainuddin Abdul Majid, Sandubaya, Kec. Selong, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83619, Indonesia",,+62 853-3739-4332,5,1,"116,5367322","-8,650349"
RHYS PSIKOLOGI OUTLET MATARAM,Psychologist,"RHYS PSIKOLOGI OUTLET MATARAM, Jl. Tri Brata No.9, Taman Sari, Kec. Ampenan, Kota Mataram, Nusa Tenggara Bar. 83112, Indonesia",,+62 812-4699-3705,5,1,"116,0834084","-8,5790133"
Biro Psikologi Abata Mataram,Corporate office,"Biro Psikologi Abata Mataram, Perumahan Bumi Paramadiva, Jl. Pd. Indah No.5 Blok A, Jempong Baru, Kec. Sekarbela, Kota Mataram, Nusa Tenggara Bar. 83116, Indonesia",https://sites.google.com/view/psikologiabatamataram/beranda,+62 859-2773-6000,"4,8",35,"116,0874872","-8,6257028"
Bale Psikologi,Psychologist,"Bale Psikologi, Jl. Prof. Soepomo No.18, Pancor, Selong, East Lombok Regency, West Nusa Tenggara 83611, Indonesia",https://balepsikologi.wixsite.com/balepsikologi,+62 878-5444-1946,"4,9",11,"116,5262464","-8,6480152"
Biro Psikologi UNU NTB,Occupational health service,"Biro Psikologi UNU NTB, Jl. Pendidikan No.10, Gomong, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83362, Indonesia",,+62 898-0224-424,5,5,"116,1001431","-8,5826098"
Psikologi Klinis Mataram,Psychotherapist,,,+62 877-2213-3756,"4,9",43,"117,8888","-2,44565"
"Biro Psikologi ""Samasta Personal & Family's Growth""",Psychologist,"Biro Psikologi ""Samasta Personal & Family's Growth"", Jln Janapria-Mujur Km 1, Penambong, Desa, Janapria, Kec. Janapria, Kabupaten Lombok Tengah, Nusa Tenggara Bar. 83554, Indonesia",,+62 896-6867-8479,4,1,"116,393499","-8,6971756"
RHYS PSIKOLOG Cabang Lombok Barat,Psychologist,"73WQ+38V RHYS PSIKOLOG Cabang Lombok Barat, JL. Raya, Jemb. Kembar, Kec. Lembar, Kabupaten Lombok Barat, Nusa Tenggara Bar. 83364, Indonesia",,+62 853-3739-4332,5,1,"116,0882861","-8,7047651"
