name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
,,,,,,,,
al.yhani__,Psychologist,"F9PQ+FWP al.yhani__, Jl. Ndorem Kai, Samkai, Kec. Merauke, Kabupaten Merauke, Papua 99615, Indonesia",,,5,1,140.3899791,-8.5138653
Lembaga Layanan Psikologi Perspektive,Psychologist,"FP33+QCC Lembaga Layanan Psikologi Perspektive, Jl. Ardipura Raya, Numbai, Distrik Jayapura Selatan, Kota Jayapura, Papua 99222, Indonesia",,+62 852-5557-7392,5,2,140.7035194,-2.5455648
Lembaga Layanan Psikologi - Cahaya Prima Optima,Psychologist,"Lembaga Layanan Psikologi - Cahaya Prima Optima, Jl. Hanurata Perum. Hamadi Residence No.B/16, Hamadi, Distrik Jayapura Selatan, Kota Jayapura, Papua, Indonesia",,+62 812-3273-3389,5,6,140.7117332,-2.5671983
LAYANAN KONSULTASI PSIKOLOGI HARMONI POTENSIA,Psychologist,"LAYANAN KONSULTASI PSIKOLOGI HARMONI POTENSIA, Perumahan Jaya Asri, Blk. AD No.14, Entrop, Jayapura Selatan, Jayapura City, Papua 99114, Indonesia",,+62 811-4877-711,,,140.6893309,-2.5683347
Garasi Mace Polwan,Psychologist,"Garasi Mace Polwan, jln. aspol base'G bengkel polda, 99117, Tj. Ria, Kec. Jayapura Utara, Kota Jayapura, Papua, Indonesia",,+62 811-4899-099,5,4,140.7341286,-2.5167206
Yayasan Kharisma,Psychologist,"FCW3+4GW Yayasan Kharisma, Jl. Pendidikan, Mandala, Merauke, Merauke Regency, Papua 99615, Indonesia",,,1,1,140.4038399,-8.5046271
biro psikologi,Psychopedagogy clinic,"GC24+82V biro psikologi, Klp. Lima, Kec. Merauke, Kabupaten Merauke, Papua 99615, Indonesia",,,,,140.4050535,-8.4991399
Klinik Atria Waris,Medical office,"Klinik Atria Waris, Gg. Saman, Mandala, Merauke, Merauke Regency, Papua 99615, Indonesia",,+62 823-9710-2303,4.9,634,140.3997313,-8.5055412
ISOKE Clinic Jayapura,Mental health clinic,"ISOKE Clinic Jayapura, Menara Indoprima, Jl. Pacific Permai Lt. 2, Bayangkara, Kec. Jayapura Utara, Kota Jayapura, Papua 99112, Indonesia",/url?q=https://isoke.id/&opi=79508299&sa=U&ved=0ahUKEwjDpsP7uYmNAxUTGhAIHVi9J3IQ61gIqwIoEA&usg=AOvVaw3WtLeWZOjBtvZg_IhNuHz7,+62 823-3399-9820,,,140.7118987,-2.5384947
