name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Yayasan Praktek Psikolog Indonesia Cabang Riau,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Riau, Meetup Office Pekanbaru, Jl. Todak No.18, Tengkerang Bar., Kec. Marpoyan Damai, Kota Pekanbaru, Riau 28124, Indonesia",/url?q=http://praktekpsikolog.com/&opi=79508299&sa=U&ved=0ahUKEwjpv96SrYGNAxU21AIHHb14Ka0Q61gIGCgR&usg=AOvVaw2_51F7NF83HUyCiOSh-8BQ,+62 878-8718-4585,5,20,"101,427638","0,4986973"
Biro Psikologi Mind And Personality Riau,Psychologist,"Biro Psikologi Mind And Personality Riau, Jl. Srikandi No.90 A, Delima, Kec. Tampan, Kota Pekanbaru, Riau 28292, Indonesia",,+62 823-8598-2399,5,96,"101,4069648","0,4840376"
"PRAKTEK PSIKOLOG AFIFAH HANA WAHYUNI, M.PSI. PSIKOLOG",Psychologist,"PRAKTEK PSIKOLOG AFIFAH HANA WAHYUNI, M.PSI. PSIKOLOG, Jl. Srikandi A No.90, Delima, Kec. Tampan, Kota Pekanbaru, Riau 28291, Indonesia",,+62 823-8598-2399,5,76,"101,4070027","0,4840714"
HUMANIKA Psychology Center,Psychologist,"HUMANIKA Psychology Center, Jl. Arifin Ahmad No.4, Sidomulyo Timur, Marpoyan Damai, Pekanbaru City, Riau 28125, Indonesia",,+62 822-5777-2221,"4,8",54,"101,434369","0,4805178"
Praktik Psikolog Rani Azmarina,Psychologist,"Praktik Psikolog Rani Azmarina, Jl. Letnan Boyak, Langgini, Kec. Bangkinang, Kabupaten Kampar, Riau 28463, Indonesia",/url?q=https://data.ipkindonesia.or.id/psikolog-klinis/Rani-Azmarina--Njcx&opi=79508299&sa=U&ved=0ahUKEwjpv96SrYGNAxU21AIHHb14Ka0Q61gIuQEoEQ&usg=AOvVaw2tRQ6roJQQINssNNRHRnpw,+62 822-8775-0339,5,10,"101,0178494","0,331173"
PSIKOLOG PEKANBARU,Psychologist,"PSIKOLOG PEKANBARU, Jl. Kereta Api Ujung No.7D, Tengkerang Tengah, Kec. Marpoyan Damai, Kota Pekanbaru, Riau 28282, Indonesia",,+62 822-1845-5888,5,1,"101,4528435","0,4932207"
"Praktik Psikolog Pekanbaru - Nafkhatul Wahidah, M.Psi., Psikolog",Psychologist,"Praktik Psikolog Pekanbaru - Nafkhatul Wahidah, M.Psi., Psikolog, Belakang SMP Negeri 40, Jl. Ketitiran Jl. Garuda Sakti No.KM 3, Simpang Baru, Kec. Tampan, Kota Pekanbaru, Riau 28291, Indonesia",,+62 813-6436-2967,5,3,"101,3618131","0,4918462"
"Praktik Psikolog Klinis Eviani Zuhrida, S.Psi.,M.Psi.,Psikolog",Psychologist,"Praktik Psikolog Klinis Eviani Zuhrida, S.Psi.,M.Psi.,Psikolog, Jl. Dr. A Rahman Saleh, RT.3/RW.8, Bangkinang, Kec. Bangkinang, Kabupaten Kampar, Riau 28463, Indonesia",/url?q=https://linktr.ee/evianizuhrida&opi=79508299&sa=U&ved=0ahUKEwjpv96SrYGNAxU21AIHHb14Ka0Q61gIswIoEQ&usg=AOvVaw2bw_XVKlFOqrdNyV_ZYJZA,+62 813-6208-5619,5,5,"101,0359088","0,3254756"
Psikologi Pekanbaru,Psychologist,"Psikologi Pekanbaru, Jl. Lumba - Lumba No.45, Tengkerang Sel., Kec. Bukit Raya, Kota Pekanbaru, Riau 28288, Indonesia",,+62 813-7853-7379,5,6,"101,4634927","0,4929034"
Violet Psikologi Konsultan (konsultasi hubungi admin melalui WA),Child psychologist,"Violet Psikologi Konsultan (konsultasi hubungi admin melalui WA), Jl. Kembang Lrg. Kacapiring No.26, Tembilahan Hilir, Kec. Tembilahan, Kabupaten Indragiri Hilir, Riau 29211, Indonesia",,+62 823-8291-2626,5,3,"103,1599485","-0,3194286"
Kinnera Development Center,Psychologist,"Kinnera Development Center, Jl. Teuku Cik Ditiro No.62, Tanah Datar, Kec. Pekanbaru Kota, Kota Pekanbaru, Riau 28156, Indonesia",/url?q=http://instagram.com/kinneracdc&opi=79508299&sa=U&ved=0ahUKEwjpv96SrYGNAxU21AIHHb14Ka0Q61gIsAMoEQ&usg=AOvVaw2P91KgLEPRgAhGpND9TWBo,+62 811-1112-9382,5,11,"101,4441572","0,5220924"
Biro Psikologi Persona Quality,Psychologist,"Biro Psikologi Persona Quality, Jalan Parit Indah, komplek Perkantoran Grand Sudirman, Gg. Damai Blk. B No.7, Tengkerang Labuai, Bukit Raya, Pekanbaru City, Riau 28289, Indonesia",,+62 761 848844,"4,8",13,"101,4563675","0,4817039"
