name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
"Biro Konsultasi & Pelayanan Psikologis ""HUMANITY""",Psychologist,"Biro Konsultasi & Pelayanan Psikologis ""HUMANITY"", Jl. Dr. Wahidin, Besusu Bar., Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111, Indonesia",,+62 852-3200-9871,5,1,119.8665449,-0.8968889
Mitra Psikologi,Psychologist,"XGX2+8CV Mitra Psikologi, Jl. Sorumba, Bonggoeya, Kec. Wua-Wua, Kota Kendari, Sulawesi Tenggara 93117, Indonesia",,+62 852-2909-5583,4.8,6,122.5010574,-4.0016472
Klinik Psikologi Cahaya Nurani,School,"Klinik Psikologi Cahaya Nurani, Jl. Teluk Tomini No.41, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",,,4.7,3,119.8863462,-0.9005154
Qualita Konsultan Psikologi,Association / Organization,"Qualita Konsultan Psikologi, Blok A13 BTN Bukit Safa Madani, Rangas, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju, Sulawesi Barat 91512, Indonesia",,+62 821-8895-8556,,,118.8457052,-2.6722874
Swarahati Consulting,Psychologist,"Swarahati Consulting, Jl. Bunga Seroja Lorong Bonsai No.27, Lahundape, Kec. Kendari Bar., Kota Kendari, Sulawesi Tenggara 93121, Indonesia",,+62 813-9398-2764,5,51,122.5291859,-3.9660206
Yayasan Praktek Psikolog Indonesia Cabang Makassar,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Makassar, Gedung Confie Indonesia - Makassar, Blk. D No.10, Karampuang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",http://www.praktekpsikolog.com/,+62 812-1345-8601,4.9,16,119.4529134,-5.1485246
"Praktik Psikologi Widia Julianti Siddik, M.Psi, Psikolog",Psychologist,"Praktik Psikologi Widia Julianti Siddik, M.Psi, Psikolog, Jl. A. Mappaoddang. H2 Lama, Kota Makassar, Sulawesi Selatan 90223, Indonesia",https://widiapsi.carrd.co/,+62 812-5388-3789,5,86,119.4150194,-5.1743026
Klinik Psikologi Wangi Embun,Mental health clinic,"3V7R+MPX Klinik Psikologi Wangi Embun, Kalukubula, Sigi Biromaru, Sigi Regency, Central Sulawesi, Indonesia",,+62 821-9688-3080,5,5,119.8918594,-0.9357625
Spirit Psikologi Manado,Psychologist,"Spirit Psikologi Manado, Jl. Sam Ratulangi, Wenang Utara, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",,+62 812-4427-304,5,35,124.8386761,1.4903864
Layanan Psikologi Makassar | Cognito,Psychologist,"Layanan Psikologi Makassar | Cognito, Bumi Permata Hijau, Jl. Bumi Raya Komp. (BPH) No.18 Blok B3, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221, Indonesia",https://cognitoindonesia.wixsite.com/cognito,+62 852-5597-2392,5,63,119.441484,-5.184869
Praktek Psikiater dr. Lili Tunggal Sp.KJ,Psychiatrist,"Praktek Psikiater dr. Lili Tunggal Sp.KJ, Jl. DR. Ratulangi No.180, Parang, Kec. Mamajang, Kota Makassar, Sulawesi Selatan, Indonesia",,+62 852-4444-2630,5,106,119.417972,-5.1632359
Psikologi Sinergi,Psychologist,"Psikologi Sinergi, Jl. Balai Kota Timur No.1, Tanamodindi, Mantikulore, Palu City, Central Sulawesi 94117, Indonesia",https://www.facebook.com/konsultanpsikologi33,+62 852-3061-8521,4.5,4,119.8919429,-0.8980122
LEMBAGA PSIKOLOGI EXCELLENT,Psychologist,"LEMBAGA PSIKOLOGI EXCELLENT, Jalan A.P Pettarani Kompleks Ruko Bisnis Centre 3, Blk. C - D No.15, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222, Indonesia",,+62 411 433666,4.8,19,119.438163,-5.1491414
Bincang Psikologi,Corporate office,"4VWM+7W5 Bincang Psikologi, Jl. RE Martadinata, Tondo, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94119, Indonesia",http://www.bincangpsikologi.com/,+62 858-1321-1246,4.9,30,119.8847527,-0.8544239
Biro Psikologi Bonafide,Psychologist,"Biro Psikologi Bonafide, Jl. Pongtiku, Kamali Pentalluan, Makale, Tana Toraja Regency, South Sulawesi 91811, Indonesia",,+62 877-7456-1000,5,1,119.8556867,-3.0873233
Biro Psikologi Bonafide,Psychologist,"Biro Psikologi Bonafide, Jl. Poros Singki'-Kadundung Km. 1.2, Tampak, Saloso, Laang Tanduk, Rantepao, 91835, Indonesia",,+62 877-7456-1000,,,119.885092,-2.9787972
Rumah Berbagi,Mental health clinic,"Rumah Berbagi, Jl. Basuki Rahmat, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94236, Indonesia",,+62 851-5639-0720,5,1,119.8881877,-0.9208024
Psikiater Anak dan Remajaa,Child psychiatrist,"Psikiater Anak dan Remajaa, Jl. DR. Ratulangi No.115A, Labuang Baji, Mamajang, Makassar City, South Sulawesi 90133, Indonesia",,+62 411 852763,5,3,119.4187979,-5.1644046
Lembaga Psikologi Progres,Psychologist,"RCJR+CJW Lembaga Psikologi Progres, Jl. Mapala Raya, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia",https://www.instagram.com/psikologiprogres/,+62 811-4111-812,5,13,119.4415687,-5.1688945
Kantor Pelayanan psikolog,Municipal administration office,"Kantor Pelayanan psikolog, Jl. Balai Kota Timur No.1, Tanamodindi, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94117, Indonesia",,,,,119.8920074,-0.8980546
Master Psikologi Makassar,Psychologist,"Master Psikologi Makassar, Jalan Perintis Kemerdekaan VIII No.L14, Tamalanrea Jaya, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245, Indonesia",http://biromasterpsikologi.blogspot.com/,+62 821-8708-9343,5,7,119.497091,-5.143289
Metamorfosa Psikologi,Psychologist,"Metamorfosa Psikologi, Depan Stasiun RTV, Jl. Untad I Bumi Roviega, Tondo, Palu Timur, Palu City, Central Sulawesi 94111, Indonesia",,+62 859-7257-9755,,,119.9113707,-0.8442236
