name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
"Praktik Psikologi Widia Julianti Siddik, M.Psi, Psikolog",Psychologist,"Praktik Psikologi Widia Julianti Siddik, M.Psi, Psikolog, Jl. A. Mappaoddang. H2 Lama, Kota Makassar, Sulawesi Selatan 90223, Indonesia",https://widiapsi.carrd.co/,+62 812-5388-3789,5,86,119.4150194,-5.1743026
Yayasan Praktek Psikolog Indonesia Cabang Makassar,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Makassar, Gedung Confie Indonesia - Makassar, Blk. D No.10, Karampuang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",http://www.praktekpsikolog.com/,+62 812-1345-8601,4.9,16,119.4529134,-5.1485246
Layanan Psikologi Makassar | Cognito,Psychologist,"Layanan Psikologi Makassar | Cognito, Bumi Permata Hijau, Jl. Bumi Raya Komp. (BPH) No.18 Blok B3, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221, Indonesia",https://cognitoindonesia.wixsite.com/cognito,+62 852-5597-2392,5,63,119.441484,-5.184869
PSIKOMORFOSA Lembaga Layanan Psikologi,Psychologist,"PSIKOMORFOSA Lembaga Layanan Psikologi, Jalan Kompleks Agraria Blok Q2 A, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia",,+62 822-9231-8587,4.8,31,119.4480497,-5.1753363
LEMBAGA PSIKOLOGI EXCELLENT,Psychologist,"LEMBAGA PSIKOLOGI EXCELLENT, Jalan A.P Pettarani Kompleks Ruko Bisnis Centre 3, Blk. C - D No.15, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90222, Indonesia",,+62 411 433666,4.8,19,119.438163,-5.1491414
Praktek Psikiater dr. Lili Tunggal Sp.KJ,Psychiatrist,"Praktek Psikiater dr. Lili Tunggal Sp.KJ, Jl. DR. Ratulangi No.180, Parang, Kec. Mamajang, Kota Makassar, Sulawesi Selatan, Indonesia",,+62 852-4444-2630,5,106,119.417972,-5.1632359
Praktek Psikolog,Store,"Praktek Psikolog, Jl. Monumen Emmy Saelan No.5, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221, Indonesia",,+62 411 841189,5,4,119.4398944,-5.1766471
Layanan Psikologi Bermakna,Psychologist,"Layanan Psikologi Bermakna, Jl. Delta Mas II Blok A4, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan 90233, Indonesia",http://wa.me/089510696112,+62 895-1069-69112,5,21,119.4623273,-5.1611861
Lembaga Psikologi Progres,Psychologist,"RCJR+CJW Lembaga Psikologi Progres, Jl. Mapala Raya, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia",https://www.instagram.com/psikologiprogres/,+62 811-4111-812,5,13,119.4415687,-5.1688945
Tes Stifin Makassar Gowa Samata (potensi bakat karakter GENETIK ),Psychologist,"Tes Stifin Makassar Gowa Samata (potensi bakat karakter GENETIK ), perum bumi zarinda, blok AO no.19, Samata, Kec. Pattallassang, Kabupaten Gowa, Sulawesi Selatan 92118, Indonesia",,+62 882-4208-5807,4.2,5,119.5205601,-5.2052924
Wiyata Psychology Center,Mental health clinic,"Wiyata Psychology Center, Jl. Banta Bantaeng Lrg. 3 No.8, Banta-Bantaeng, Rappocini, Makassar City, South Sulawesi, Indonesia",,+62 851-8689-2112,5,11,119.4247539,-5.1611741
LPPT Widya Prasthya,Psychologist,"LPPT Widya Prasthya, Jl. RSI Faisal II Perum Griya Modern No.7, Kel, Banta-Bantaeng, Rappocini, Makassar City, South Sulawesi 90222, Indonesia",,+62 811-4003-225,5,9,119.4340951,-5.165332
Daya Potensia Indonesia,Psychologist,"Daya Potensia Indonesia, Jl. Raya Pendidikan No.9 Blok G1, Tidung, Rappocini, Makassar City, South Sulawesi 90222, Indonesia",,+62 811-430-253,5,16,119.4408763,-5.1710717
Lembaga Psikologi Intelektualita,Consultant,"Lembaga Psikologi Intelektualita, Jl. Faisal IV No.11, Banta-Bantaeng, Rappocini, Makassar City, South Sulawesi 90222, Indonesia",https://intelektualita.com/,+62 858-2400-2343,4.8,42,119.4336531,-5.1631308
Psikiater andi hema,Mental health service,"Psikiater andi hema, Jl. DR. Ratulangi No.93, Labuang Baji, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90132, Indonesia",,,5,2,119.417671,-5.1615933
Master Psikologi Makassar,Psychologist,"Master Psikologi Makassar, Jalan Perintis Kemerdekaan VIII No.L14, Tamalanrea Jaya, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan 90245, Indonesia",http://biromasterpsikologi.blogspot.com/,+62 821-8708-9343,5,7,119.497091,-5.143289
Psikiater Anak dan Remajaa,Child psychiatrist,"Psikiater Anak dan Remajaa, Jl. DR. Ratulangi No.115A, Labuang Baji, Mamajang, Makassar City, South Sulawesi 90133, Indonesia",,+62 411 852763,5,3,119.4187979,-5.1644046
Rumah terapi kecemasan,Mental health clinic,"Rumah terapi kecemasan, Jl. Taman Sudiang Indah No.4, Pai, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan 90242, Indonesia",,+62 839-9811-180,5,5,119.5198954,-5.0862276
Pusat Layanan Psikologi Fakultas Psikologi UNM,Psychologist,"Pusat Layanan Psikologi Fakultas Psikologi UNM, Gedung BB, Kampus Timur Jl. A. P. Pettarani Lt. 3, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90222, Indonesia",,+62 811-412-994,5,1,119.4357655,-5.1684899
Daycare & Pusat Layanan Tumbuh Kembang Anak Fakultas Psikologi,Association / Organization,"Daycare & Pusat Layanan Tumbuh Kembang Anak Fakultas Psikologi, Tidung, Kec. Rappocini, Kota Makassar, Sulawesi Selatan, Indonesia",,+62 877-2629-6395,5,56,119.4359156,-5.1684682
