name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Klinik Psikologi Wangi Embun,Mental health clinic,"3V7R+MPX Klinik Psikologi Wangi Embun, Kalukubula, Sigi Biromaru, Sigi Regency, Central Sulawesi, Indonesia",,+62 821-9688-3080,5,5,119.8918594,-0.9357625
Klinik Psikologi Cahaya Nurani,School,"Klinik Psikologi Cahaya Nurani, Jl. Teluk Tomini No.41, Lolu Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94111, Indonesia",,,4.7,3,119.8863462,-0.9005154
"Biro Konsultasi & Pelayanan Psikologis ""HUMANITY""",Psychologist,"Biro Konsultasi & Pelayanan Psikologis ""HUMANITY"", Jl. Dr. Wahidin, Besusu Bar., Kec. Palu Bar., Kota Palu, Sulawesi Tengah 94111, Indonesia",,+62 852-3200-9871,5,1,119.8665449,-0.8968889
Psikologi Sinergi,Psychologist,"Psikologi Sinergi, Jl. Balai Kota Timur No.1, Tanamodindi, Mantikulore, Palu City, Central Sulawesi 94117, Indonesia",/url?q=https://www.facebook.com/konsultanpsikologi33&opi=79508299&sa=U&ved=0ahUKEwjlxI-QuImNAxXXGRAIHUJZO6kQ61gIhQEoEQ&usg=AOvVaw3dAz-zaK-6p5y02_7Njx94,+62 852-3061-8521,4.5,4,119.8919429,-0.8980122
Bincang Psikologi,Corporate office,"4VWM+7W5 Bincang Psikologi, Jl. RE Martadinata, Tondo, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94119, Indonesia",/url?q=http://www.bincangpsikologi.com/&opi=79508299&sa=U&ved=0ahUKEwjlxI-QuImNAxXXGRAIHUJZO6kQ61gIsAEoEQ&usg=AOvVaw2_QMqym1CnStQjZ6F3ErId,+62 858-1321-1246,4.9,30,119.8847527,-0.8544239
Rumah Berbagi,Mental health clinic,"Rumah Berbagi, Jl. Basuki Rahmat, Birobuli Utara, Kec. Palu Sel., Kota Palu, Sulawesi Tengah 94236, Indonesia",,+62 851-5639-0720,5,1,119.8881877,-0.9208024
Metamorfosa Psikologi,Psychologist,"Metamorfosa Psikologi, Depan Stasiun RTV, Jl. Untad I Bumi Roviega, Tondo, Palu Timur, Palu City, Central Sulawesi 94111, Indonesia",,+62 859-7257-9755,,,119.9113707,-0.8442236
Kantor Pelayanan psikolog,Municipal administration office,"Kantor Pelayanan psikolog, Jl. Balai Kota Timur No.1, Tanamodindi, Kec. Mantikulore, Kota Palu, Sulawesi Tengah 94117, Indonesia",,,,,119.8920074,-0.8980546
Vhera Naya Sasa,Psychologist,"Vhera Naya Sasa, Jl S Jl. Sungai Ogotion No.12b, Nunu, Kec. Tatanga, Kota Palu, Sulawesi Tengah 94223, Indonesia",,+62 813-5437-3817,,,119.8616769,-0.9064833
Biro Psikologi Inpsych.e Consultant,Psychologist,"Biro Psikologi Inpsych.e Consultant, Jl. Dr. Moh. Hatta No.139, Maahas, Kec. Luwuk Selatan, Kabupaten Banggai, Sulawesi Tengah 94711, Indonesia",/url?q=https://www.instagram.com/inpsych.e%3Figsh%3DbnNjY29kN29rbGhr&opi=79508299&sa=U&ved=0ahUKEwjlxI-QuImNAxXXGRAIHUJZO6kQ61gI6AIoEA&usg=AOvVaw2qbykl9gL91oI2UaSDnn0z,+62 895-4207-16440,,,122.7856765,-0.9760048
