name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
"Praktik Psikolog ""Psikologika""",Psychologist,"Praktik Psikolog ""Psikologika"", Jl. Laute IB No.9B, Mandonga, Kendari City, South East Sulawesi 93111, Indonesia",,+62 857-5720-4427,5,61,122.5152874,-3.968086
Genesis Psychological Clinic,Psychologist,"Genesis Psychological Clinic, Jl. Jend. Ahmad Yani No.220, Anawai, Kec. Wua-Wua, Kota Kendari, Sulawesi Tenggara 93117, Indonesia",,,5,69,122.4982878,-4.0090336
Praktek Psikolog ADJ_MADO,Psychologist,"Praktek Psikolog ADJ_MADO, BTN PNS Blok XIV Jl. Apel No.17, Watubangga, Kec. Baruga, Kota Kendari, Sulawesi Tenggara 93116, Indonesia",,+62 817-897-771,4.9,18,122.4800247,-4.0259663
Swarahati Consulting,Psychologist,"Swarahati Consulting, Jl. Bunga Seroja Lorong Bonsai No.27, Lahundape, Kec. Kendari Bar., Kota Kendari, Sulawesi Tenggara 93121, Indonesia",,+62 813-9398-2764,5,51,122.5291859,-3.9660206
Mitra Psikologi,Psychologist,"XGX2+8CV Mitra Psikologi, Jl. Sorumba, Bonggoeya, Kec. Wua-Wua, Kota Kendari, Sulawesi Tenggara 93117, Indonesia",,+62 852-2909-5583,4.8,6,122.5010574,-4.0016472
Zona Solution Psikologi,Psychologist,"Zona Solution Psikologi, Jl. Kijang, Rahandouna, Kec. Poasia, Kota Kendari, Sulawesi Tenggara, Indonesia",,+62 878-7249-2742,4.6,11,122.5494634,-4.0085868
Yayasan Praktek Psikolog Indonesia Cabang Makassar,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Makassar, Gedung Confie Indonesia - Makassar, Blk. D No.10, Karampuang, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231, Indonesia",http://www.praktekpsikolog.com/,+62 812-1345-8601,4.9,16,119.4529134,-5.1485246
"Praktik Psikologi Widia Julianti Siddik, M.Psi, Psikolog",Psychologist,"Praktik Psikologi Widia Julianti Siddik, M.Psi, Psikolog, Jl. A. Mappaoddang. H2 Lama, Kota Makassar, Sulawesi Selatan 90223, Indonesia",https://widiapsi.carrd.co/,+62 812-5388-3789,5,86,119.4150194,-5.1743026
Layanan Psikologi Makassar | Cognito,Psychologist,"Layanan Psikologi Makassar | Cognito, Bumi Permata Hijau, Jl. Bumi Raya Komp. (BPH) No.18 Blok B3, Gn. Sari, Kec. Rappocini, Kota Makassar, Sulawesi Selatan 90221, Indonesia",https://cognitoindonesia.wixsite.com/cognito,+62 852-5597-2392,5,63,119.441484,-5.184869
AMBAR PSIKOLOGI SOLUSI,Corporate office,"XHM2+MWH AMBAR PSIKOLOGI SOLUSI, Rahandouna, Kec. Poasia, Kota Kendari, Sulawesi Tenggara 93232, Indonesia",,+62 811-4051-200,5,40,122.5523529,-4.0158004
