name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Spirit Psikologi Manado,Psychologist,"Spirit Psikologi Manado, Jl. Sam Ratulangi, Wenang Utara, Kec. Wenang, Kota Manado, Sulawesi Utara, Indonesia",,+62 812-4427-304,5,35,124.8386761,1.4903864
Psychological Practice Hanna & Consultant,Psychologist,"Psychological Practice Hanna & Consultant, Jl. Mogandi 15, Malalayang Satu, Malalayang, Manado City, North Sulawesi 95162, Indonesia",,+62 821-9110-6549,5,16,124.8157989,1.4494686
"Cicilia Pali S.Psi, M.Psi, Psikolog. Psychology Consulting",Psychologist,"CRW5+3GG Cicilia Pali S.Psi, M.Psi, Psikolog. Psychology Consulting, Malalayang Satu, Malalayang, Manado City, North Sulawesi, Indonesia",,+62 813-2299-9680,5,1,124.8088329,1.445196
Praktek Psikolog Elis Ratnawati,Psychologist,"Praktek Psikolog Elis Ratnawati, Jl. Tlk. Bayur No.10, Kleak, Malalayang, Manado City, North Sulawesi, Indonesia",,+62 813-4043-2059,5,8,124.8314244,1.4604842
General Psychology,Human resource consulting,"General Psychology, Jl. Sam Ratulangi 20 No.2 - Kel, South Titiwungen, Sario, Manado City, North Sulawesi, Indonesia",https://tralapsikologi.com/,+62 821-9279-6750,4.9,14,124.8362742,1.4750078
Praktek Psikolog Jansen Mawikere,Psychotherapist,"Praktek Psikolog Jansen Mawikere, Jl. Sam Ratulangi 20 No.2, Titiwungen Sel., Kec. Sario, Kota Manado, Sulawesi Utara 95113, Indonesia",https://jarotmw.id/,+62 813-4428-7821,5,3,124.8362738,1.4750159
Layanan Psikologi Buana,Psychologist,"GVG9+74W Layanan Psikologi Buana, Jl. Camar Buha, Buha, Mapanget, Manado City, North Sulawesi, Indonesia",,,5,7,124.8679263,1.5257059
Layanan Psikologi Harapan,Psychologist,"Layanan Psikologi Harapan, Jl. Bethesda No.7, Tumpengan, Sea, Kec. Pineleng, Kabupaten Minahasa, Sulawesi Utara, Indonesia",,+62 821-8852-9184,5,9,124.7946114,1.4407842
"Praktek Psikiater dr. Ireine SCR, M.Kes., Sp.KJ",Psychiatrist,"Praktek Psikiater dr. Ireine SCR, M.Kes., Sp.KJ, Jl. Sam Ratulangi, North Wenang, Wenang, Manado City, North Sulawesi 95111, Indonesia",http://www.integrapsych.one/,+62 815-2601-9779,5,4,124.8375626,1.4872949
Praktek Psikolog Indonesia Cabang Manado,Psychologist,"Praktek Psikolog Indonesia Cabang Manado, Hotel Gran Puri, Sarang Inovasi - Coworking Space, Jl. Sam Ratulangi No.458 Lt. 3, Ranotana, Kec. Sario, Kota Manado, Sulawesi Utara 95116, Indonesia",https://www.praktekpsikolog.com/,+62 812-1345-8601,,,124.8372611,1.4591245
Psikku (PT Psyche Indonesia Ofisial),Psychologist,"Psikku (PT Psyche Indonesia Ofisial), Jl. Sam Ratulangi No.119, Titiwungan Utara, Sario, Manado City, North Sulawesi 95113, Indonesia",http://www.psikku.com/,+62 852-5667-7766,5,1,124.8367064,1.4799664
