name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Lembaga Psikologi Lentera Saintika Padang,Psychologist,"Lembaga Psikologi Lentera Saintika Padang, Kampus (UNSYKA 2, Jl. Prof. Dr. Hamka No.141, Air Tawar Tim., Kec. Padang Utara, Kota Padang, Sumatera Barat 25132, Indonesia",https://www.instagram.com/lentera_saintika/,+62 895-6000-20818,5,55,"100,3505695","-0,8842887"
Praktek Psikologi dan Tumbuh Kembang,Psychologist,"Praktek Psikologi dan Tumbuh Kembang, Jl. Rambutan No.KM 17, Koto Panjang Ikua Koto, Koto Tangah, Padang City, West Sumatra 25586, Indonesia",,+62 851-5869-9587,5,19,"100,3713669","-0,8543996"
Lembaga Psikologi dan Sumber Daya Manusia CSI (Central Solusi Insania),Psychologist,"Lembaga Psikologi dan Sumber Daya Manusia CSI (Central Solusi Insania), Jl. Parupuk Raya IV No.54, Parupuk Tabing, Koto Tangah, Padang City, West Sumatra 25173, Indonesia",,+62 852-6585-7206,5,38,"100,3506447","-0,8872051"
Klinik Psikologi Sahabat Indonesia,Mental health clinic,"M9X8+77H Klinik Psikologi Sahabat Indonesia, Kayu Kubu, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26136, Indonesia",,+62 812-7586-0188,5,5,"100,3657307","-0,3018239"
Lembaga Psikologi Progressive Reflection (LP2R),Psychologist,"Lembaga Psikologi Progressive Reflection (LP2R), Komplek Dangau Teduh Jl. Kemuning No. 16 - Piai Tangah - Pauh, Cangkeh Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat 25162, Indonesia",,+62 812-7607-0052,5,105,"100,421225","-0,9475211"
Teras Psikologi BIC,Psychologist,"Teras Psikologi BIC, Jl. Asra No.26, Dadok Tunggul Hitam, Koto Tangah, Padang City, West Sumatra 25176, Indonesia",,+62 896-5499-3155,5,34,"100,3631212","-0,8808001"
Psikologi SIM Arka Trans Psikologi,Psychologist,"29X6+WW2 Psikologi SIM Arka Trans Psikologi, Jl. Imam Bonjol, Kp. Jao, Pasar Baru, Kota Padang Panjang, Sumatera Barat, Indonesia",,+62 821-6949-0052,5,2,"100,3622678","-0,9502319"
Klinik Psikologi Sahabat Indonesia,Education center,"Klinik Psikologi Sahabat Indonesia, depan mushalla Nurul Ihsan Air Tabik, Jl. Raya Pasia, Ampang Gadang, Kec. Ampek Angkek, Kabupaten Agam, Sumatera Barat, Indonesia",,+62 812-7586-0188,5,7,"100,4095959","-0,2971462"
Psikologi Sahabat Indonesia,Association / Organization,"Psikologi Sahabat Indonesia, Jl. Batang Masang, Puhun Tembok, Kec. Aur Birugo Tigo Baleh, Kota Bukittinggi, Sumatera Barat 26181, Indonesia",http://psikologisahabatindonesiaberkabar.wordpress.com/,+62 812-7586-0188,"4,9",14,"100,3739144","-0,3186186"
Lembaga Psikologi Dwi Dharma,Psychologist,"Lembaga Psikologi Dwi Dharma, Jl. S. Parman, North Ulak Karang, Padang Utara, Padang City, West Sumatra 25131, Indonesia",,+62 751 446823,"3,5",6,"100,3501024","-0,9084096"
Biro Psikologi Padang.Sehat,Mental health clinic,"Biro Psikologi Padang.Sehat, Jl. Pepaya No.18, Ujung Gurun, Kec. Padang Bar., Kota Padang, Sumatera Barat 25114, Indonesia",,+62 857-8634-4034,5,81,"100,3582672","-0,9340893"
INSPIRASI Consulting,Child psychologist,"INSPIRASI Consulting, Jl. By Pass, Manggis Ganting, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26137, Indonesia",,+62 812-6697-3398,"4,9",74,"100,3777569","-0,2972398"
Psikolog Payakumbuh,Psychologist,"Psikolog Payakumbuh, Jl. Rangkayo Rasuna Said No.29, Labuh Basilang, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26218, Indonesia",https://wa.me/message/QTDJGXAPNBFXA1,+62 823-9144-4600,5,3,"100,6409578","-0,2330148"
Praktik Psikolog Ghita - PT. Kharisma Ghita Mandiri,Psychologist,"Praktik Psikolog Ghita - PT. Kharisma Ghita Mandiri, Jalan Denpasar No. 4 Tanjuanggodang, Sungai Panago, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26224, Indonesia",,+62 811-6699-089,5,2,"100,6210674","-0,2368387"
Lembaga Psikologi Terapan Propsychology,Psychologist,"Lembaga Psikologi Terapan Propsychology, Komplek, Asratek Jl. Jakarta No.1, Ulak Karang Sel., Kec. Padang Utara, Kota Padang, Sumatera Barat, Indonesia",https://propsychologyconsultant.com/,+62 812-7027-7084,4,2,"100,3505834","-0,9125827"
Narapsikologi Edutech Consulting,Psychologist,"Narapsikologi Edutech Consulting, Wisma Indah IV Siteba, Jl. Tj. Karang No.C-7, Surau Gadang, Kec. Nanggalo, Kota Padang, Sumatera Barat 25146, Indonesia",https://www.narapsikologi.com/,+62 853-1284-6608,5,9,"100,368902","-0,8954471"
"BIRO KONSULTASI PSIKOLOGI COPIN (Siti Djauharoh S.Psi, M.Psi., Psikolog)",Corporate office,"BIRO KONSULTASI PSIKOLOGI COPIN (Siti Djauharoh S.Psi, M.Psi., Psikolog), Jl. Patenggangan No.3, Air Tawar Bar., Kec. Padang Utara, Kota Padang, Sumatera Barat, Indonesia",,+62 811-6694-422,5,1006,"100,345316","-0,8931437"
KONSULTASI PSIKOLOGI TALENTAPARAMITA,Psychotherapist,"KONSULTASI PSIKOLOGI TALENTAPARAMITA, Polamas, Jl. Andalas No.P6, Alai Parak Kopi, Kota Padang, Sumatera Barat 25139, Indonesia",,+62 811-661-553,5,1,"100,3751303","-0,9355379"
Key Consulting (Layanan & Konsultasi Psikologi(,Psychologist,"PFQC+7R4 Key Consulting (Layanan & Konsultasi Psikologi(, Kapuh Utara, Koto XI Tarusan, Kabupaten Pesisir Selatan, Sumatera Barat, Indonesia",https://instagram.com/psikologikc?igshid=MzRlODBiNWFlZA==,+62 852-7108-3717,5,4,"100,4720652","-1,2618666"
Fitri Effendy Psikolog,Psychologist,"Fitri Effendy Psikolog, Jalan Soekarno Hatta No.1, Pakan Kurai, Kec. Guguk Panjang, Kota Bukittinggi, Sumatera Barat 26137, Indonesia",,+62 752 22077,4,8,"100,3754993","-0,299811"
Praktek Psikolog Putra Andana,Corporate office,"QHVX+PRR Praktek Psikolog Putra Andana, Unnamed Road, Koto Panjang Padang, Parambahan, Kec. Lamposi Tigo Nagori, Kota Payakumbuh, Sumatera Barat 26219, Indonesia",,+62 823-8864-6464,5,3,"100,5995117","-0,2056294"
Brilian Konsultan,Psychologist,"879C+3M7 Brilian Konsultan, Jl. Raya Pariaman Punggung Kasiak, Lubuk Alung, Kec. Lubuk Alung, Kabupaten Padang Pariaman, Sumatera Barat 25582, Indonesia",,+62 813-7863-1530,5,3,"100,271682","-0,6823282"
BIC Padang @dirumahkawan,Psychologist,"BIC Padang @dirumahkawan, Jl. Tempua I No.5, West Air Tawar, Padang Utara, Padang City, West Sumatra 25173, Indonesia",,,5,3,"100,3487449","-0,8903352"
BIRO INDOFINITE PSYCHOLOGY,Psychologist,"BIRO INDOFINITE PSYCHOLOGY, Jl. Mr. Asa'at No.69, Campago Guguk Bulek, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26128, Indonesia",http://psychology.indofinite.com/,+62 815-2456-1040,5,10,"100,3842732","-0,2894752"
Psychology Center,Medical clinic,"6M72+PFG Psychology Center, Jl. Ks. Tubun, Vi Suku, Kec. Lubuk Sikarah, Kota Solok, Sumatera Barat 27323, Indonesia",,,3,1,"100,6512144","-0,7856935"
Lembaga Psikologi Terapan Propsychology,Psychologist,"Lembaga Psikologi Terapan Propsychology, Jl. Belanti Raya No.5, Lolong Belanti, Kec. Padang Utara, Kota Padang, Sumatera Barat 25173, Indonesia",,+62 812-7027-7084,,,"100,3532174","-0,9186384"
Spektrum Psikologi,Health consultant,"Spektrum Psikologi, Perumahan Pandan Puti Indah No.6A, Kampai Tabu Karambia, Kec. Lubuk Sikarah, Kota Solok, Sumatera Barat 27315, Indonesia",,+62 821-7099-6665,5,3,"100,6633053","-0,8072235"
FAKULTAS PSIKOLOGI DAN KESEHATAN UNP,Academic department,"484X+HMH FAKULTAS PSIKOLOGI DAN KESEHATAN UNP, Air Tawar Bar., Kec. Padang Utara, Kota Padang, Sumatera Barat 25173, Indonesia",http://psikologi.fip.unp.ac.id/,,"4,8",54,"100,3492495","-0,8935749"
Risnawati consulting psikologi (gedung klinik kimia farma),Psychologist,"Risnawati consulting psikologi (gedung klinik kimia farma), Jl. Palang Merah No.34c, Dalam, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",,+62 822-6714-3238,5,3,"98,6796987","3,5844962"
"Lembaga Psikologi ""yuni Ushi Johan, S. Psi, Psikolog",Health,"Lembaga Psikologi ""yuni Ushi Johan, S. Psi, Psikolog, Jl. Raya Indarung No.15, Tj. Saba Pitameh Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat 25155, Indonesia",,+62 751 7894173,5,2,"100,4042121","-0,9564666"
Bintang Psikologi.ID,Psychologist,"5MF3+FQP Bintang Psikologi.ID, Jl. Raya Padang - Solok, Koto Baru, Kec. Kubung, Kabupaten Solok, Sumatera Barat 27361, Indonesia",,,5,2,"100,6544613","-0,8262593"
Yayasan Praktek Psikolog Indonesia Cabang Riau,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Riau, Meetup Office Pekanbaru, Jl. Todak No.18, Tengkerang Bar., Kec. Marpoyan Damai, Kota Pekanbaru, Riau 28124, Indonesia",http://praktekpsikolog.com/,+62 878-8718-4585,5,20,"101,427638","0,4986973"
INDOFINITE Psychology Center,Corporate office,"INDOFINITE Psychology Center, Jln. Mr.Asa'at No.69, Campago Guguk Bulek, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat 26117, Indonesia",,+62 852-7857-5556,5,29,"100,3840568","-0,2898124"
