name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Biro Konsultasi Psikologi Brilliant Consulting,Psychologist,"Biro Konsultasi Psikologi Brilliant Consulting, Kec. DIV, Jl. Ariodillah III No.109, RT.34/RW.11, 20 Ilir D. III, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30128, Indonesia",http://bit.ly/3w0fxu3,+62 813-3131-2770,5,13,"104,737602","-2,9644179"
Biro Psikologi Karya Tunas Bangsa,Psychologist,"Biro Psikologi Karya Tunas Bangsa, Jl. Kolonel H. Barlian No.60, Sukarami, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961, Indonesia",,+62 711 7426854,5,30,"104,727838","-2,9423194"
Biro Psikologi Palembang PERFECTA MAXIMA,Consultant,"Biro Psikologi Palembang PERFECTA MAXIMA, Jl. Sersan Wahab No.2083, RT.30, 20 Ilir D. I, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30126, Indonesia",http://www.perfectamaxima.com/,,"4,9",121,"104,7542598","-2,9726028"
"Biro Psikologi ""Bumi Consulting""",Medical office,"Biro Psikologi ""Bumi Consulting"", Jl. Sukabangun II, Sukajaya, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961, Indonesia",,+62 817-4869-471,"4,9",57,"104,7307499","-2,944168"
KLINIK ASA NARA,Psychologist,"2QXP+7H4 KLINIK ASA NARA, Jl. H. Abdul Rozak, Kalidoni, Palembang City, South Sumatra 30118, Indonesia",,+62 822-7688-8690,5,33,"104,7865092","-2,9519778"
Praktek Psikolog Indonesia Palembang,Psychologist,"Praktek Psikolog Indonesia Palembang, Jl. Inspektur Marzuki No.124, Siring Agung, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30151, Indonesia",https://praktekpsikolog.com/,+62 878-8718-4585,4,4,"104,7199009","-2,9628259"
Klinik Psikologi Pelita Hati,Psychologist,"Klinik Psikologi Pelita Hati, Ruko Pelita Indah, Jl. Pelita Nomor PI 11, 20 Ilir D II, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30164, Indonesia",,+62 897-9009-001,"4,8",4,"104,7565427","-2,9582866"
"Praktek Psikologi Mandiri Famella Sari, M.Psi dan Rekan",Consultant,"2PFP+65G Praktek Psikologi Mandiri Famella Sari, M.Psi dan Rekan, Lorok Pakjo, Kec. Ilir Bar. I, Kota Palembang, Sumatera Selatan 30126, Indonesia",,+62 813-2945-9592,"4,9",13,"104,7354635","-2,9769392"
"BIRO PSIKOLOGI ""SYAFIQI""",Psychologist,"J72G+7F3 BIRO PSIKOLOGI ""SYAFIQI"", samping Citimal, Jl. Pelangi, Gn. Ibul, Kec. Prabumulih Tim., Kota Prabumulih, Sumatera Selatan 31111, Indonesia",,+62 821-8412-9595,5,35,"104,2761819","-3,3993649"
LAB PSIKOLOGI UIN,Medical diagnostic imaging center,"LAB PSIKOLOGI UIN, Jl. Prof. K. H. Zainal Abidin Fikri No.1, Pahlawan, Kemuning, Kota Palembang, Sumatera Selatan 30126, Pahlawan, Kec. Kemuning, Kota Palembang, Sumatera Selatan 30126, Indonesia",,,5,1,"104,748508","-2,962494"
ASA Psychological Consultant - Biro Psikologi Palembang,Psychologist,"ASA Psychological Consultant - Biro Psikologi Palembang, Jl. Sungai Sahang, Lorok Pakjo, Ilir Barat I, Palembang City, South Sumatra 30137, Indonesia",,+62 856-5861-7850,5,6,"104,7312876","-2,980757"
Lembaga Psikologi Terapan Limas,Psychotherapist,"Lembaga Psikologi Terapan Limas, Jl. Griya Duta Mas Cluster Cendana No.5 No.15, Sukajaya, Kec. Sukarami, Kota Palembang, Sumatera Selatan 30961, Indonesia",,+62 813-6806-2180,5,2,"104,7353159","-2,9212094"
Klinik Konsultasi Spiritual Palembang,Mental health clinic,"Klinik Konsultasi Spiritual Palembang, Jl. Tombak No.mor 732, Sekip, Ujung, Kota Palembang, Sumatera Selatan 30151, Indonesia",,,5,1,"104,7538524","-2,956613"
Psikologi & Hukum Mutiara Azhar Group,Doctor,"Psikologi & Hukum Mutiara Azhar Group, Jl. Talang Buruk, Karya Baru, Alang-Alang Lebar, Palembang City, South Sumatra 30153, Indonesia",http://www.mutiaraazhar.zoomshare.com/,+62 813-6763-8209,5,1,"104,7002468","-2,9422346"
Klinik Psikologi RSUD IBNU SUTOWO,Psychotherapist,"V5G8+4RW Klinik Psikologi RSUD IBNU SUTOWO, Baturaja Lama, Kec. Baturaja Timur, Kabupaten Ogan Komering Ulu, Sumatera Selatan 32121, Indonesia",,,5,1,"104,1669241","-4,1246138"
"Klinik Psikoterapi Arman Asy Syifa Palembang, Promotor STIFIn Berlisensi (Tes Mesin Kecerdasan STIFIn)",Psychotherapist,"Klinik Psikoterapi Arman Asy Syifa Palembang, Promotor STIFIn Berlisensi (Tes Mesin Kecerdasan STIFIn), Perum Gardena Hill, Jl. Gotong Royong No.6 Blok D, Karya Baru, Kec. Alang-Alang Lebar, Kota Palembang, Sumatera Selatan 30961, Indonesia",http://piarmanstifin.mandiripreneur.com/,+62 823-5919-9987,5,10,"104,7082401","-2,939853"
Optimal Psychology & Educational Center - Biro Psikologi,Psychologist,"Optimal Psychology & Educational Center - Biro Psikologi, Jl. Datuk Moh. Akib No 218 A, 22 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatera Selatan 30113, Indonesia",,+62 823-7275-8675,5,4,"104,7570433","-2,987431"
