name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Psikiater,Mental health clinic,"Psikiater, Jl. HOS Cokroaminoto No.122, Pandau Hulu II, Medan Area, Medan City, North Sumatra 20211, Indonesia",http://bit.ly/3F8yRpw,+62 821-6300-0880,"4,8",95,"98,6972527","3,593746"
Praktek Psikolog Armita,Psychologist,"Praktek Psikolog Armita, Jl. Ikan Kakap No.35, Tanah Tinggi, Kec. Binjai Tim., Kota Binjai, Sumatera Utara 20731, Indonesia",,+62 813-2299-7901,5,12,"98,5104259","3,611984"
Biro Konsultasi Psikologi Riski Ananda,Psychologist,"Biro Konsultasi Psikologi Riski Ananda, Jl Banteng no 9 Komplek Taman Impian Indah, Dwi Kora, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20123, Indonesia",,+62 813-6103-4299,5,295,"98,633682","3,5962264"
Yayasan Praktek Psikolog Indonesia Cabang Medan,Psychologist,"Yayasan Praktek Psikolog Indonesia Cabang Medan, Cradle Office, YPPI Cabang Medan, Jl. Iskandar Muda No.127, Sei Sikambing D, Medan Petisah, Medan City, North Sumatra 20111, Indonesia",http://www.praktekpsikolog.com/,+62 878-8718-4585,5,3,"98,6611751","3,5877165"
STIFIn Brain Medan Tembung,Psychologist,"STIFIn Brain Medan Tembung, Jl. Ps. V No.81, Dusun Salak, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20371, Indonesia",https://stifinbrain.com/,+62 811-6488-899,5,5,"98,7386469","3,5854557"
STIFIn MEDAN,Psychologist,"STIFIn MEDAN, Jl. Garu II A No.44D, Harjosari I, Kec. Medan Amplas, Kota Medan, Sumatera Utara 20147, Indonesia",,+62 852-6197-9191,5,2,"98,7038443","3,5455276"
Psychology Consultation Bureau,Psychologist,"Psychology Consultation Bureau, Jl. Kolam No.1, Kenangan Baru, Percut Sei Tuan, Deli Serdang Regency, North Sumatra 20225, Indonesia",https://psikologi.uma.ac.id/,+62 61 7366878,5,2,"98,7177207","3,6007489"
Risnawati consulting psikologi (gedung klinik kimia farma),Psychologist,"Risnawati consulting psikologi (gedung klinik kimia farma), Jl. Palang Merah No.34c, Dalam, Kec. Medan Bar., Kota Medan, Sumatera Utara 20111, Indonesia",,+62 822-6714-3238,5,3,"98,6796987","3,5844962"
LEMBAGA PSIKOLOGI KOGNISIA,Psychologist,"LEMBAGA PSIKOLOGI KOGNISIA, Jl. Rajawali No.30, Sei Sikambing B, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20122, Indonesia",,+62 838-0025-5833,5,7,"98,6331829","3,5856893"
Biro Psikologi Marsha Puntadewa,Psychologist,"Biro Psikologi Marsha Puntadewa, Jl. Sultan Hasanuddin No.18, Petisah Hulu, Kec. Medan Baru, Kota Medan, Sumatera Utara 20152, Indonesia",,+62 811-6403-037,"4,5",20,"98,6630869","3,5831415"
"Praktik Psikolog Klinis Cut Rafyqa Fadhilah, M.Psi., Psikolog",Psychologist,"Praktik Psikolog Klinis Cut Rafyqa Fadhilah, M.Psi., Psikolog, Jl. Sunggal Jl. Komp. Bumi Sunggal Permai No.18 Blok B1, Sunggal, Kec. Medan Sunggal, Kota Medan, Sumatera Utara 20128, Indonesia",http://www.instagram.com/praktikpsikologklinismedan/,+62 852-2147-3777,"4,8",17,"98,6163658","3,574776"
Psikolog Elviati Achmad,Psychologist,"Psikolog Elviati Achmad, Jalan Banteng No. 11 CDE, Sei Sikambing C. II, Medan Helvetia, Sei Sikambing C. II, Medan, Kota Medan, Sumatera Utara 20123, Indonesia",,+62 61 8452762,"4,5",4,"98,6335098","3,593138"
