name,category,addres_full,website,phone_number,rating,review_count,longitude,latitude
Biro Konsultasi Psikologi Kemuning Kembar,Psychologist,"Biro Konsultasi Psikologi Kemuning Kembar, Margoyasan PA II, Jl. Sultan Agung Gg. Bromo No.470, Gunungketur, Pakualaman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55111, Indonesia",http://www.kemuningkembar.com/,+62 274 4469822,"4,6",57,"110,3760294","-7,8023201"
Biro Konsultasi Psikologi PARIPURNA Yogyakarta (PUSAT),Psychologist,"Biro Konsultasi Psikologi PARIPURNA Yogyakarta (PUSAT), Jl. Griya Palem Indah No.A1, Nogosari, Sidokarto, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55264, Indonesia",http://semestaparipurna.com/,+62 858-0024-3036,5,41,"110,3057416","-7,7738625"
Detection Psychological Services,Psychologist,"Detection Psychological Services, Jl. C. Simanjuntak No.50, Terban, Gondokusuman, Yogyakarta City, Special Region of Yogyakarta 55223, Indonesia",https://detection.id/,+62 852-9051-6896,"4,9",41,"110,3741219","-7,7773498"
Unit Konsultasi Psikologi UGM,Mental health service,"69HJ+72V Unit Konsultasi Psikologi UGM, Bulaksumur, Yogyakarta, Jl. Sosio Humaniora, Karang Malang, Caturtunggal, Depok, Sleman Regency, Special Region of Yogyakarta 55281, Indonesia",https://ukp.psikologi.ugm.ac.id/,+62 857-5916-1581,"4,5",32,"110,3800604","-7,7717661"
Praktek Psikolog Klinis (Assyifa Consulting),Psychologist,"Praktek Psikolog Klinis (Assyifa Consulting), Jl. Merpati 2 No.5, Cokro Gedok, Sidoarum, Kec. Godean, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55246, Indonesia",https://instagram.com/assyifa_consulting?utm_medium=copy_link,+62 819-1095-8989,"4,9",72,"110,3251993","-7,774813"
Bening Klinik Psikologi Jogja,Psychologist,"Bening Klinik Psikologi Jogja, Rukan Gading Mas No. 8A-9A, Banyuraden, Kec. Gamping, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55293, Indonesia",https://beningpsikologi.com/,+62 812-2556-5656,5,8,"110,3434219","-7,7804098"
Pusat Pelayanan Tes dan Konsultasi Psikologi (P2TKP) Universitas Sanata Dharma,Psychologist,"Pusat Pelayanan Tes dan Konsultasi Psikologi (P2TKP) Universitas Sanata Dharma, Fakultas Psikologi Kampus III Universitas Sanata Dharma, Krodan, Maguwoharjo, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281, Indonesia",https://usd.ac.id/pusat/p2tkp/,+62 856-4239-6636,"4,8",28,"110,4223891","-7,7543166"
Klinik Psikologi RS. Bethesda,Psychologist,"Klinik Psikologi RS. Bethesda, Jl. Jend. Sudirman No.70, Kotabaru, Kec. Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224, Indonesia",,+62 812-2620-7407,5,1,"110,3783861","-7,7839841"
Bina Asih Psikologi,Psychologist,"Bina Asih Psikologi, Jl. Balirejo I No.33, Muja Muju, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55165, Indonesia",http://www.binaasihpsikologi.com/,+62 274 582051,"4,9",20,"110,3966573","-7,7985998"
"PSIKOLOG KLINIS Mirza Adi Prabowo, M.Psi., Psikolog",Psychologist,"PSIKOLOG KLINIS Mirza Adi Prabowo, M.Psi., Psikolog, Jl. Alpokat Perumahan Jambusari Indah No.5, Jetis, Wedomartani, Kec. Ngemplak, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55584, Indonesia",http://www.mirzaadi.my.id/,+62 812-2997-2989,"4,9",172,"110,4093595","-7,7457265"
Surya Anggraeni Psychology Center (SYAPC),Psychologist,"Surya Anggraeni Psychology Center (SYAPC), Jl. Kusumanegara No.159, Muja Muju, Umbulharjo, Yogyakarta City, Special Region of Yogyakarta 55281, Indonesia",https://suryaanggraeni.co.id/,+62 813-2597-0906,"4,7",12,"110,3929174","-7,8019346"
Biro Psikologi Kalyananda,Psychologist,"Biro Psikologi Kalyananda, Jl. Pogung Baru No.H5, Pogung Baru, Sinduadi, Mlati, Sleman Regency, Special Region of Yogyakarta 55284, Indonesia",,+62 857-0074-5556,"4,8",23,"110,3780619","-7,7566509"
